Response Time,Age,Gender,Country,Education,Job Title,Int Age
737,18-21,Man,Egypt,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,18
514,25-29,Man,Netherlands,Master’s degree,Currently not employed,25
647,35-39,Man,Ukraine,Doctoral degree,Currently not employed,35
386,25-29,Man,Other,Master’s degree,Software Engineer,25
2048,30-34,Woman,Indonesia,Master’s degree,Data Engineer,30
43508,18-21,Woman,Turkey,Master’s degree,Student,18
401,18-21,Man,India,Bachelor’s degree,Student,18
682,25-29,Woman,India,Bachelor’s degree,Data Engineer,25
753,40-44,Man,Saudi Arabia,Bachelor’s degree,Machine Learning Engineer,40
352,18-21,Man,Russia,Some college/university study without earning a bachelor’s degree,Student,18
566,25-29,Man,India,Master’s degree,Data Scientist,25
1813,30-34,Man,Colombia,I prefer not to answer,Data Analyst,30
435,25-29,Man,Pakistan,Some college/university study without earning a bachelor’s degree,Student,25
986,35-39,Man,South Africa,Master’s degree,Data Engineer,35
366,18-21,Man,India,Bachelor’s degree,Student,18
776,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Engineer,40
340,22-24,Man,United States of America,Master’s degree,Student,22
339,30-34,Woman,Russia,Bachelor’s degree,Student,30
436,25-29,Man,Other,Bachelor’s degree,Student,25
744,70+,Woman,United States of America,Master’s degree,Data Analyst,70
895,22-24,Woman,India,I prefer not to answer,Student,22
79172,18-21,Man,Romania,Bachelor’s degree,Student,18
502,22-24,Man,India,Bachelor’s degree,Data Scientist,22
267,18-21,Woman,Egypt,Bachelor’s degree,Student,18
516,30-34,Man,South Africa,Bachelor’s degree,Product Manager,30
427,22-24,Woman,India,Bachelor’s degree,Student,22
985,22-24,Man,India,Bachelor’s degree,Data Engineer,22
610,30-34,Man,Singapore,Master’s degree,Data Scientist,30
304,22-24,Woman,India,Master’s degree,Student,22
12878,50-54,Man,Other,Master’s degree,Data Scientist,50
526,60-69,Man,Argentina,Doctoral degree,Data Scientist,60
1068,30-34,Man,Spain,Some college/university study without earning a bachelor’s degree,Software Engineer,30
404,22-24,Woman,Morocco,Master’s degree,Machine Learning Engineer,22
280,50-54,Man,Other,Bachelor’s degree,Software Engineer,50
904,25-29,Man,Nigeria,Some college/university study without earning a bachelor’s degree,Program/Project Manager,25
1565,22-24,Man,United States of America,Bachelor’s degree,Currently not employed,22
3089,45-49,Man,Austria,Master’s degree,Business Analyst,45
447,22-24,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Student,22
460,35-39,Man,Singapore,Master’s degree,Data Scientist,35
1846,60-69,Man,United States of America,Master’s degree,Product Manager,60
980,22-24,Man,India,Bachelor’s degree,Software Engineer,22
660,30-34,Man,India,Bachelor’s degree,Software Engineer,30
937,40-44,Man,Turkey,I prefer not to answer,Other,40
476,18-21,Man,India,Bachelor’s degree,Software Engineer,18
553,40-44,Woman,Bangladesh,Master’s degree,Currently not employed,40
412,30-34,Man,Turkey,Doctoral degree,Statistician,30
324,35-39,Man,Japan,Bachelor’s degree,Other,35
1894,22-24,Woman,Taiwan,Master’s degree,Currently not employed,22
1762,25-29,Man,India,Master’s degree,Currently not employed,25
866,22-24,Man,Kenya,Bachelor’s degree,Program/Project Manager,22
24380,18-21,Man,India,Bachelor’s degree,Student,18
738,22-24,Woman,Tunisia,Master’s degree,Student,22
2032,35-39,Man,Brazil,Doctoral degree,Research Scientist,35
2084,30-34,Man,United States of America,Master’s degree,Data Scientist,30
698,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,18
574,35-39,Man,Egypt,Bachelor’s degree,Other,35
778,60-69,Man,Canada,Master’s degree,Program/Project Manager,60
493,30-34,Man,India,Bachelor’s degree,Other,30
337,30-34,Man,United States of America,Master’s degree,Business Analyst,30
406,40-44,Man,Japan,Bachelor’s degree,Business Analyst,40
1677,55-59,Man,United States of America,Master’s degree,Data Scientist,55
348,18-21,Man,India,Bachelor’s degree,Student,18
536,30-34,Woman,Sweden,Doctoral degree,Data Scientist,30
186,40-44,Man,Australia,Master’s degree,Software Engineer,40
354,35-39,Man,Nigeria,Bachelor’s degree,Research Scientist,35
375,22-24,Woman,Turkey,Bachelor’s degree,Data Scientist,22
677,40-44,Man,Russia,Bachelor’s degree,Business Analyst,40
456,25-29,Man,Other,Bachelor’s degree,Data Engineer,25
916,25-29,Man,Egypt,Doctoral degree,Research Scientist,25
571,30-34,Man,Russia,Bachelor’s degree,Software Engineer,30
720,30-34,Man,India,Master’s degree,Data Scientist,30
539,22-24,Man,India,Bachelor’s degree,Student,22
1346,30-34,Man,United States of America,Some college/university study without earning a bachelor’s degree,Other,30
338,22-24,Man,India,Master’s degree,Software Engineer,22
307,30-34,Man,United States of America,Master’s degree,Data Scientist,30
288,18-21,Man,Belarus,No formal education past high school,Student,18
501,22-24,Man,France,Master’s degree,Data Scientist,22
2331,18-21,Man,India,Bachelor’s degree,Student,18
3237,45-49,Man,South Africa,Bachelor’s degree,Currently not employed,45
531,35-39,Man,Egypt,Master’s degree,Student,35
586,30-34,Nonbinary,Mexico,Doctoral degree,Student,30
12370,55-59,Man,Brazil,Some college/university study without earning a bachelor’s degree,Other,55
1233,18-21,Woman,India,Bachelor’s degree,Student,18
697,18-21,Man,India,Bachelor’s degree,Student,18
578,35-39,Woman,Ireland,Doctoral degree,Statistician,35
572,30-34,Man,Colombia,Master’s degree,Machine Learning Engineer,30
224,18-21,Prefer not to say,India,Bachelor’s degree,Student,18
646,30-34,Man,India,Doctoral degree,Machine Learning Engineer,30
794,18-21,Woman,India,Master’s degree,Student,18
815,30-34,Man,India,Bachelor’s degree,Data Analyst,30
591,60-69,Man,United States of America,Master’s degree,Student,60
699,35-39,Man,Argentina,Master’s degree,Program/Project Manager,35
1124,70+,Man,Australia,Master’s degree,Other,70
520,18-21,Man,Australia,Bachelor’s degree,Data Scientist,18
504,45-49,Man,Portugal,No formal education past high school,Other,45
669,18-21,Man,Other,Master’s degree,Software Engineer,18
3042,25-29,Woman,Hong Kong (S.A.R.),Doctoral degree,Data Scientist,25
982,25-29,Man,Japan,No formal education past high school,Machine Learning Engineer,25
613,25-29,Man,India,Bachelor’s degree,Data Scientist,25
798,22-24,Man,India,Bachelor’s degree,Data Scientist,22
875,22-24,Man,China,Master’s degree,Data Scientist,22
307,55-59,Woman,Israel,Master’s degree,Currently not employed,55
4131,25-29,Man,Nigeria,Master’s degree,Research Scientist,25
601,50-54,Man,Austria,No formal education past high school,Software Engineer,50
1341,22-24,Man,India,Bachelor’s degree,Student,22
612,18-21,Woman,India,Bachelor’s degree,Student,18
275,45-49,Man,Sweden,Master’s degree,Software Engineer,45
1128,25-29,Man,United States of America,Bachelor’s degree,Student,25
961,50-54,Man,Japan,Master’s degree,Software Engineer,50
290,30-34,Man,United States of America,Master’s degree,Student,30
627,30-34,Woman,India,Master’s degree,Currently not employed,30
1348,40-44,Man,India,Bachelor’s degree,Machine Learning Engineer,40
780,18-21,Man,Mexico,Bachelor’s degree,Student,18
9291,35-39,Man,France,Master’s degree,Data Scientist,35
3874,18-21,Woman,India,Bachelor’s degree,Student,18
1921,25-29,Man,Spain,Master’s degree,Machine Learning Engineer,25
497,22-24,Man,Ukraine,Doctoral degree,Data Analyst,22
1181,25-29,Man,India,Bachelor’s degree,Research Scientist,25
688,35-39,Woman,India,Master’s degree,Currently not employed,35
449,30-34,Woman,Brazil,Some college/university study without earning a bachelor’s degree,Currently not employed,30
320,22-24,Man,United States of America,Master’s degree,Other,22
767,35-39,Woman,India,Doctoral degree,Research Scientist,35
667,55-59,Woman,Brazil,Master’s degree,Business Analyst,55
170,40-44,Man,United States of America,Master’s degree,Software Engineer,40
991,30-34,Man,India,Bachelor’s degree,Machine Learning Engineer,30
1846,22-24,Man,India,Master’s degree,Student,22
732,25-29,Woman,Pakistan,Master’s degree,Data Analyst,25
566,60-69,Man,United States of America,Master’s degree,Software Engineer,60
1075,50-54,Man,United States of America,Master’s degree,Currently not employed,50
442,35-39,Man,Indonesia,No formal education past high school,Data Scientist,35
1469,30-34,Man,China,Master’s degree,Machine Learning Engineer,30
526,30-34,Man,Denmark,Doctoral degree,Data Scientist,30
824,25-29,Woman,India,Bachelor’s degree,Data Analyst,25
922,35-39,Man,Australia,Master’s degree,Currently not employed,35
378,35-39,Woman,Other,Master’s degree,Data Analyst,35
1945,45-49,Prefer not to say,Brazil,Bachelor’s degree,Research Scientist,45
578,18-21,Man,India,Master’s degree,Student,18
237,22-24,Man,Other,Bachelor’s degree,Currently not employed,22
756,25-29,Woman,Pakistan,Doctoral degree,Data Analyst,25
599,25-29,Woman,India,Master’s degree,Data Analyst,25
480,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,25
264,25-29,Man,Nigeria,Some college/university study without earning a bachelor’s degree,Currently not employed,25
4088,45-49,Man,Germany,Master’s degree,Program/Project Manager,45
1066,25-29,Man,Kenya,Bachelor’s degree,Software Engineer,25
509,22-24,Man,South Korea,Bachelor’s degree,Other,22
187,22-24,Man,India,Master’s degree,Currently not employed,22
372,22-24,Man,Bangladesh,Bachelor’s degree,Student,22
356,25-29,Woman,Philippines,Bachelor’s degree,Currently not employed,25
445,22-24,Man,India,Master’s degree,Student,22
841,35-39,Man,Turkey,Master’s degree,Software Engineer,35
569,18-21,Woman,India,Master’s degree,Student,18
984,40-44,Man,Canada,Master’s degree,Data Analyst,40
85290,50-54,Man,United States of America,Bachelor’s degree,Software Engineer,50
3143,30-34,Man,Nigeria,Master’s degree,Data Analyst,30
1159,45-49,Woman,Singapore,Master’s degree,Research Scientist,45
5097,22-24,Man,United States of America,Master’s degree,Student,22
501,35-39,Woman,United States of America,Master’s degree,Data Scientist,35
622,25-29,Man,India,Master’s degree,Student,25
785,35-39,Man,Russia,Bachelor’s degree,Other,35
489,22-24,Woman,India,Master’s degree,Research Scientist,22
1984,18-21,Woman,Indonesia,Bachelor’s degree,Student,18
1112,22-24,Man,India,Bachelor’s degree,Business Analyst,22
904,18-21,Man,India,Bachelor’s degree,Student,18
2403,22-24,Man,China,Doctoral degree,Program/Project Manager,22
29434,45-49,Man,Other,Master’s degree,Business Analyst,45
489,30-34,Woman,United States of America,Master’s degree,Data Engineer,30
843,50-54,Man,Russia,No formal education past high school,Currently not employed,50
42500,40-44,Man,Mexico,Master’s degree,Business Analyst,40
266,50-54,Man,United Kingdom of Great Britain and Northern Ireland,No formal education past high school,Developer Relations/Advocacy,50
1390,30-34,Woman,India,Master’s degree,Research Scientist,30
887,25-29,Prefer not to say,Germany,Doctoral degree,Research Scientist,25
662,22-24,Woman,Nigeria,Master’s degree,Student,22
559,25-29,Man,India,Bachelor’s degree,Software Engineer,25
774,25-29,Woman,Nigeria,Bachelor’s degree,Student,25
603,45-49,Man,India,Master’s degree,Statistician,45
550,30-34,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Machine Learning Engineer,30
3074,30-34,Nonbinary,Kenya,Bachelor’s degree,Machine Learning Engineer,30
161,25-29,Woman,Sri Lanka,Master’s degree,Student,25
828,35-39,Woman,Tunisia,Doctoral degree,Data Analyst,35
994,60-69,Man,Chile,Master’s degree,Other,60
545,22-24,Man,China,Bachelor’s degree,Data Analyst,22
544,18-21,Woman,Bangladesh,Bachelor’s degree,Machine Learning Engineer,18
358,60-69,Man,United States of America,Bachelor’s degree,Software Engineer,60
364,25-29,Man,India,Master’s degree,Data Scientist,25
771,40-44,Man,Other,Doctoral degree,Student,40
345,35-39,Woman,India,Master’s degree,Currently not employed,35
231,22-24,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Scientist,22
255,18-21,Man,Indonesia,Some college/university study without earning a bachelor’s degree,Student,18
6005,25-29,Woman,India,Master’s degree,Currently not employed,25
245,18-21,Man,India,Bachelor’s degree,Student,18
166328,25-29,Man,India,Master’s degree,Data Engineer,25
1072,40-44,Man,Japan,Master’s degree,Other,40
1272,35-39,Man,India,Bachelor’s degree,Currently not employed,35
434,40-44,Man,Japan,Bachelor’s degree,Data Scientist,40
4573,25-29,Man,France,Master’s degree,Data Scientist,25
584,30-34,Woman,United Arab Emirates,Master’s degree,Currently not employed,30
979,35-39,Man,Nigeria,Master’s degree,Software Engineer,35
166,22-24,Man,India,Bachelor’s degree,Other,22
673,35-39,Man,Sweden,Doctoral degree,Research Scientist,35
230,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Currently not employed,18
39789,25-29,Woman,United States of America,Master’s degree,Student,25
3588,40-44,Man,France,Doctoral degree,Data Scientist,40
784,22-24,Man,Uganda,Bachelor’s degree,Currently not employed,22
642,25-29,Man,India,Bachelor’s degree,Data Scientist,25
1028,35-39,Man,South Africa,Master’s degree,Data Scientist,35
1508,45-49,Man,Russia,Master’s degree,Product Manager,45
151,35-39,Man,Spain,Doctoral degree,Research Scientist,35
867,25-29,Man,Sri Lanka,Master’s degree,Data Scientist,25
451,40-44,Man,Saudi Arabia,Master’s degree,Other,40
429,25-29,Woman,Italy,Master’s degree,Data Analyst,25
1135,18-21,Man,Nigeria,Bachelor’s degree,Data Scientist,18
799,70+,Man,United States of America,Master’s degree,Currently not employed,70
454,50-54,Man,Portugal,Doctoral degree,Research Scientist,50
424,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,18
1089,30-34,Man,India,Master’s degree,Data Scientist,30
749,55-59,Man,Netherlands,Doctoral degree,Data Scientist,55
496,35-39,Man,Brazil,Bachelor’s degree,Data Scientist,35
505,18-21,Woman,India,Bachelor’s degree,Student,18
5394,18-21,Man,Ireland,Some college/university study without earning a bachelor’s degree,Currently not employed,18
319,18-21,Man,India,Bachelor’s degree,Student,18
639,25-29,Man,India,Master’s degree,Data Scientist,25
405,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,22
808,30-34,Man,India,Bachelor’s degree,Software Engineer,30
1011,30-34,Man,United States of America,Master’s degree,Data Scientist,30
780,30-34,Man,Ghana,Master’s degree,Software Engineer,30
642,40-44,Man,India,Master’s degree,Data Engineer,40
623,35-39,Man,India,Doctoral degree,Software Engineer,35
450,25-29,Man,India,Bachelor’s degree,Currently not employed,25
951,22-24,Man,Egypt,Master’s degree,Data Scientist,22
244,25-29,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Student,25
365,22-24,Man,Poland,Master’s degree,Business Analyst,22
589,55-59,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Currently not employed,55
502,35-39,Man,United States of America,Bachelor’s degree,Business Analyst,35
1276,18-21,Man,Viet Nam,Bachelor’s degree,Student,18
2017,25-29,Woman,Egypt,Bachelor’s degree,Other,25
700561,18-21,Woman,Other,Master’s degree,Student,18
415,25-29,Man,India,Bachelor’s degree,Other,25
2355,25-29,Man,Canada,Bachelor’s degree,Other,25
699,35-39,Man,Kenya,Bachelor’s degree,Currently not employed,35
1724,18-21,Man,India,Bachelor’s degree,DBA/Database Engineer,18
454,25-29,Man,Mexico,Master’s degree,Data Scientist,25
997,50-54,Man,South Korea,Master’s degree,Program/Project Manager,50
3411,35-39,Man,Nigeria,Bachelor’s degree,DBA/Database Engineer,35
569,45-49,Man,France,Master’s degree,Currently not employed,45
1254,25-29,Woman,India,Bachelor’s degree,Data Analyst,25
1507,60-69,Man,India,Master’s degree,Software Engineer,60
569,25-29,Man,Taiwan,Master’s degree,Currently not employed,25
1020,60-69,Man,India,Bachelor’s degree,Program/Project Manager,60
945,22-24,Man,Nigeria,Bachelor’s degree,Data Engineer,22
1028,25-29,Man,Malaysia,Doctoral degree,Data Scientist,25
585,22-24,Man,Taiwan,Master’s degree,Student,22
1489,25-29,Woman,Thailand,Bachelor’s degree,Other,25
392,18-21,Woman,Colombia,Some college/university study without earning a bachelor’s degree,Software Engineer,18
3301,35-39,Man,Other,Bachelor’s degree,Student,35
257,18-21,Man,India,Bachelor’s degree,Student,18
973,45-49,Man,Japan,Master’s degree,Other,45
458,25-29,Woman,Spain,Master’s degree,Software Engineer,25
353,18-21,Prefer not to say,India,Bachelor’s degree,Student,18
987,40-44,Man,Australia,Master’s degree,Data Engineer,40
1208,25-29,Man,Germany,Master’s degree,Student,25
482,50-54,Man,Israel,Master’s degree,Product Manager,50
788,25-29,Man,Brazil,Bachelor’s degree,Data Scientist,25
521,35-39,Man,United States of America,Master’s degree,Data Scientist,35
1114,50-54,Woman,United States of America,Professional doctorate,Data Scientist,50
1133,18-21,Man,Indonesia,Master’s degree,Research Scientist,18
856,50-54,Man,Spain,Bachelor’s degree,Data Analyst,50
974,50-54,Man,United States of America,Bachelor’s degree,Product Manager,50
358,18-21,Man,Singapore,Some college/university study without earning a bachelor’s degree,Student,18
602,35-39,Man,Greece,Doctoral degree,Data Scientist,35
610,18-21,Man,India,Bachelor’s degree,Student,18
1755,40-44,Man,Ukraine,Master’s degree,Software Engineer,40
733,22-24,Woman,Brazil,Master’s degree,Data Scientist,22
984,35-39,Woman,India,Doctoral degree,Research Scientist,35
1155,25-29,Woman,India,Master’s degree,Data Scientist,25
4082,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,25
918,25-29,Man,Russia,Master’s degree,Data Scientist,25
779,18-21,Woman,United States of America,Master’s degree,Other,18
394,40-44,Man,Sweden,Master’s degree,Currently not employed,40
670,30-34,Man,South Korea,Bachelor’s degree,Student,30
2239,55-59,Woman,Turkey,Doctoral degree,Statistician,55
2377,25-29,Man,Tunisia,Bachelor’s degree,Currently not employed,25
572,22-24,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Engineer,22
913,22-24,Man,India,Bachelor’s degree,Business Analyst,22
764,25-29,Man,India,Bachelor’s degree,Data Scientist,25
601,45-49,Woman,United States of America,Professional doctorate,Student,45
663,30-34,Man,Russia,Bachelor’s degree,Software Engineer,30
659,30-34,Man,Pakistan,Bachelor’s degree,Currently not employed,30
1497,30-34,Man,Argentina,Bachelor’s degree,Student,30
3356,25-29,Man,Russia,Some college/university study without earning a bachelor’s degree,Product Manager,25
838,25-29,Woman,Turkey,Bachelor’s degree,Data Scientist,25
270,22-24,Man,India,Bachelor’s degree,Data Scientist,22
943,40-44,Prefer not to say,India,Bachelor’s degree,Software Engineer,40
1877,35-39,Man,United Arab Emirates,Bachelor’s degree,Data Engineer,35
914,25-29,Man,Other,Master’s degree,Data Scientist,25
1441,45-49,Man,Saudi Arabia,Bachelor’s degree,Other,45
310,18-21,Woman,India,Some college/university study without earning a bachelor’s degree,Student,18
1003,35-39,Woman,Egypt,Doctoral degree,Research Scientist,35
481,18-21,Man,Nigeria,Bachelor’s degree,Student,18
639,40-44,Man,Turkey,Master’s degree,Program/Project Manager,40
616,30-34,Woman,United States of America,Bachelor’s degree,Data Analyst,30
704,30-34,Woman,Italy,Bachelor’s degree,Business Analyst,30
899193,18-21,Man,Other,Some college/university study without earning a bachelor’s degree,Software Engineer,18
899,35-39,Man,Mexico,Master’s degree,Statistician,35
572,25-29,Man,India,Master’s degree,Data Scientist,25
330,22-24,Man,India,Bachelor’s degree,Student,22
1080,30-34,Man,Indonesia,Master’s degree,Data Analyst,30
8327,22-24,Man,India,Bachelor’s degree,Software Engineer,22
403,22-24,Man,Spain,Some college/university study without earning a bachelor’s degree,Other,22
448,22-24,Man,China,Master’s degree,Student,22
541,22-24,Man,Sri Lanka,Bachelor’s degree,Data Analyst,22
883,18-21,Man,India,Bachelor’s degree,Student,18
155,18-21,Man,Brazil,Bachelor’s degree,Data Scientist,18
995,18-21,Man,Indonesia,Bachelor’s degree,Machine Learning Engineer,18
772,30-34,Man,India,Doctoral degree,Research Scientist,30
448,25-29,Man,Indonesia,Doctoral degree,Statistician,25
2046,30-34,Man,United States of America,Bachelor’s degree,Program/Project Manager,30
642,22-24,Man,India,Master’s degree,Software Engineer,22
