Response Time,Age,Gender,Country,Education,Job Title,Experience,Investment,Compensation,Int Age
2048,30-34,Woman,Indonesia,Master’s degree,Data Engineer,5-10 years,$100-$999,"25,000-29,999",30
43508,18-21,Woman,Turkey,Master’s degree,Student,1-3 years,,,18
401,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,18
682,25-29,Woman,India,Bachelor’s degree,Data Engineer,1-3 years,$0 ($USD),$0-999,25
753,40-44,Man,Saudi Arabia,Bachelor’s degree,Machine Learning Engineer,10-20 years,$100-$999,"10,000-14,999",40
352,18-21,Man,Russia,Some college/university study without earning a bachelor’s degree,Student,3-5 years,,,18
566,25-29,Man,India,Master’s degree,Data Scientist,< 1 years,$0 ($USD),$0-999,25
1813,30-34,Man,Colombia,I prefer not to answer,Data Analyst,< 1 years,$0 ($USD),$0-999,30
435,25-29,Man,Pakistan,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,,25
986,35-39,Man,South Africa,Master’s degree,Data Engineer,10-20 years,,,35
366,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,,18
776,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Engineer,10-20 years,$100-$999,"80,000-89,999",40
340,22-24,Man,United States of America,Master’s degree,Student,5-10 years,,,22
339,30-34,Woman,Russia,Bachelor’s degree,Student,< 1 years,,,30
436,25-29,Man,Other,Bachelor’s degree,Student,< 1 years,,,25
744,70+,Woman,United States of America,Master’s degree,Data Analyst,20+ years,"$10,000-$99,999","100,000-124,999",70
895,22-24,Woman,India,I prefer not to answer,Student,5-10 years,,,22
79172,18-21,Man,Romania,Bachelor’s degree,Student,3-5 years,,,18
502,22-24,Man,India,Bachelor’s degree,Data Scientist,3-5 years,"$1000-$9,999",$0-999,22
267,18-21,Woman,Egypt,Bachelor’s degree,Student,< 1 years,,,18
516,30-34,Man,South Africa,Bachelor’s degree,Product Manager,10-20 years,$100-$999,"90,000-99,999",30
427,22-24,Woman,India,Bachelor’s degree,Student,3-5 years,,,22
985,22-24,Man,India,Bachelor’s degree,Data Engineer,5-10 years,$0 ($USD),"5,000-7,499",22
610,30-34,Man,Singapore,Master’s degree,Data Scientist,5-10 years,"$100,000 or more ($USD)","125,000-149,999",30
304,22-24,Woman,India,Master’s degree,Student,3-5 years,,,22
12878,50-54,Man,Other,Master’s degree,Data Scientist,20+ years,,,50
526,60-69,Man,Argentina,Doctoral degree,Data Scientist,20+ years,$100-$999,$0-999,60
1068,30-34,Man,Spain,Some college/university study without earning a bachelor’s degree,Software Engineer,< 1 years,$0 ($USD),"25,000-29,999",30
404,22-24,Woman,Morocco,Master’s degree,Machine Learning Engineer,1-3 years,$0 ($USD),$0-999,22
280,50-54,Man,Other,Bachelor’s degree,Software Engineer,10-20 years,$0 ($USD),"100,000-124,999",50
904,25-29,Man,Nigeria,Some college/university study without earning a bachelor’s degree,Program/Project Manager,3-5 years,$1-$99,$0-999,25
1565,22-24,Man,United States of America,Bachelor’s degree,Currently not employed,1-3 years,,,22
3089,45-49,Man,Austria,Master’s degree,Business Analyst,5-10 years,$1-$99,"125,000-149,999",45
447,22-24,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Student,1-3 years,,,22
460,35-39,Man,Singapore,Master’s degree,Data Scientist,5-10 years,"$100,000 or more ($USD)","100,000-124,999",35
1846,60-69,Man,United States of America,Master’s degree,Product Manager,20+ years,"$1000-$9,999","80,000-89,999",60
980,22-24,Man,India,Bachelor’s degree,Software Engineer,1-3 years,"$1000-$9,999",$0-999,22
660,30-34,Man,India,Bachelor’s degree,Software Engineer,5-10 years,$1-$99,"10,000-14,999",30
937,40-44,Man,Turkey,I prefer not to answer,Other,1-3 years,$0 ($USD),"7,500-9,999",40
476,18-21,Man,India,Bachelor’s degree,Software Engineer,1-3 years,$1-$99,$0-999,18
553,40-44,Woman,Bangladesh,Master’s degree,Currently not employed,5-10 years,,,40
412,30-34,Man,Turkey,Doctoral degree,Statistician,1-3 years,$0 ($USD),$0-999,30
324,35-39,Man,Japan,Bachelor’s degree,Other,10-20 years,,,35
1894,22-24,Woman,Taiwan,Master’s degree,Currently not employed,1-3 years,,,22
1762,25-29,Man,India,Master’s degree,Currently not employed,1-3 years,,,25
866,22-24,Man,Kenya,Bachelor’s degree,Program/Project Manager,5-10 years,"$10,000-$99,999","10,000-14,999",22
24380,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,18
738,22-24,Woman,Tunisia,Master’s degree,Student,< 1 years,,,22
2032,35-39,Man,Brazil,Doctoral degree,Research Scientist,1-3 years,"$10,000-$99,999","25,000-29,999",35
2084,30-34,Man,United States of America,Master’s degree,Data Scientist,10-20 years,"$10,000-$99,999","250,000-299,999",30
698,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,3-5 years,"$100,000 or more ($USD)","5,000-7,499",18
574,35-39,Man,Egypt,Bachelor’s degree,Other,5-10 years,$0 ($USD),"25,000-29,999",35
778,60-69,Man,Canada,Master’s degree,Program/Project Manager,3-5 years,"$1000-$9,999",$0-999,60
493,30-34,Man,India,Bachelor’s degree,Other,5-10 years,"$1000-$9,999","30,000-39,999",30
337,30-34,Man,United States of America,Master’s degree,Business Analyst,I have never written code,"$10,000-$99,999","100,000-124,999",30
406,40-44,Man,Japan,Bachelor’s degree,Business Analyst,I have never written code,"$100,000 or more ($USD)","70,000-79,999",40
1677,55-59,Man,United States of America,Master’s degree,Data Scientist,20+ years,"$100,000 or more ($USD)","200,000-249,999",55
348,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,18
536,30-34,Woman,Sweden,Doctoral degree,Data Scientist,5-10 years,$0 ($USD),"60,000-69,999",30
186,40-44,Man,Australia,Master’s degree,Software Engineer,20+ years,,,40
354,35-39,Man,Nigeria,Bachelor’s degree,Research Scientist,1-3 years,,,35
375,22-24,Woman,Turkey,Bachelor’s degree,Data Scientist,1-3 years,$0 ($USD),$0-999,22
677,40-44,Man,Russia,Bachelor’s degree,Business Analyst,1-3 years,"$1000-$9,999","25,000-29,999",40
456,25-29,Man,Other,Bachelor’s degree,Data Engineer,1-3 years,$100-$999,"20,000-24,999",25
916,25-29,Man,Egypt,Doctoral degree,Research Scientist,3-5 years,"$1000-$9,999","4,000-4,999",25
571,30-34,Man,Russia,Bachelor’s degree,Software Engineer,5-10 years,$0 ($USD),"15,000-19,999",30
720,30-34,Man,India,Master’s degree,Data Scientist,10-20 years,"$1000-$9,999","60,000-69,999",30
539,22-24,Man,India,Bachelor’s degree,Student,1-3 years,,,22
1346,30-34,Man,United States of America,Some college/university study without earning a bachelor’s degree,Other,< 1 years,$0 ($USD),"40,000-49,999",30
338,22-24,Man,India,Master’s degree,Software Engineer,5-10 years,,,22
307,30-34,Man,United States of America,Master’s degree,Data Scientist,1-3 years,,,30
288,18-21,Man,Belarus,No formal education past high school,Student,< 1 years,,,18
501,22-24,Man,France,Master’s degree,Data Scientist,3-5 years,"$10,000-$99,999","10,000-14,999",22
2331,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,18
3237,45-49,Man,South Africa,Bachelor’s degree,Currently not employed,3-5 years,,,45
531,35-39,Man,Egypt,Master’s degree,Student,10-20 years,,,35
586,30-34,Nonbinary,Mexico,Doctoral degree,Student,5-10 years,,,30
12370,55-59,Man,Brazil,Some college/university study without earning a bachelor’s degree,Other,20+ years,$0 ($USD),"1,000-1,999",55
1233,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,,,18
697,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,18
578,35-39,Woman,Ireland,Doctoral degree,Statistician,10-20 years,"$1000-$9,999","60,000-69,999",35
572,30-34,Man,Colombia,Master’s degree,Machine Learning Engineer,3-5 years,"$1000-$9,999","1,000-1,999",30
224,18-21,Prefer not to say,India,Bachelor’s degree,Student,1-3 years,,,18
646,30-34,Man,India,Doctoral degree,Machine Learning Engineer,5-10 years,"$100,000 or more ($USD)","30,000-39,999",30
794,18-21,Woman,India,Master’s degree,Student,1-3 years,,,18
815,30-34,Man,India,Bachelor’s degree,Data Analyst,1-3 years,"$1000-$9,999","10,000-14,999",30
591,60-69,Man,United States of America,Master’s degree,Student,10-20 years,,,60
699,35-39,Man,Argentina,Master’s degree,Program/Project Manager,5-10 years,$100-$999,"20,000-24,999",35
1124,70+,Man,Australia,Master’s degree,Other,20+ years,$100-$999,"5,000-7,499",70
520,18-21,Man,Australia,Bachelor’s degree,Data Scientist,< 1 years,$0 ($USD),$0-999,18
504,45-49,Man,Portugal,No formal education past high school,Other,< 1 years,$0 ($USD),"10,000-14,999",45
669,18-21,Man,Other,Master’s degree,Software Engineer,3-5 years,$1-$99,"3,000-3,999",18
3042,25-29,Woman,Hong Kong (S.A.R.),Doctoral degree,Data Scientist,5-10 years,$100-$999,"7,500-9,999",25
982,25-29,Man,Japan,No formal education past high school,Machine Learning Engineer,5-10 years,"$1000-$9,999","60,000-69,999",25
613,25-29,Man,India,Bachelor’s degree,Data Scientist,< 1 years,$1-$99,"10,000-14,999",25
798,22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years,$0 ($USD),"4,000-4,999",22
875,22-24,Man,China,Master’s degree,Data Scientist,1-3 years,$0 ($USD),$0-999,22
307,55-59,Woman,Israel,Master’s degree,Currently not employed,5-10 years,,,55
4131,25-29,Man,Nigeria,Master’s degree,Research Scientist,3-5 years,$100-$999,$0-999,25
601,50-54,Man,Austria,No formal education past high school,Software Engineer,20+ years,"$1000-$9,999","70,000-79,999",50
1341,22-24,Man,India,Bachelor’s degree,Student,< 1 years,,,22
612,18-21,Woman,India,Bachelor’s degree,Student,1-3 years,,,18
275,45-49,Man,Sweden,Master’s degree,Software Engineer,20+ years,,,45
1128,25-29,Man,United States of America,Bachelor’s degree,Student,1-3 years,,,25
961,50-54,Man,Japan,Master’s degree,Software Engineer,20+ years,"$10,000-$99,999","125,000-149,999",50
290,30-34,Man,United States of America,Master’s degree,Student,1-3 years,,,30
627,30-34,Woman,India,Master’s degree,Currently not employed,< 1 years,,,30
1348,40-44,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,"$10,000-$99,999","2,000-2,999",40
780,18-21,Man,Mexico,Bachelor’s degree,Student,1-3 years,,,18
9291,35-39,Man,France,Master’s degree,Data Scientist,< 1 years,$0 ($USD),"60,000-69,999",35
3874,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,,,18
1921,25-29,Man,Spain,Master’s degree,Machine Learning Engineer,5-10 years,"$1000-$9,999","30,000-39,999",25
497,22-24,Man,Ukraine,Doctoral degree,Data Analyst,3-5 years,$0 ($USD),$0-999,22
1181,25-29,Man,India,Bachelor’s degree,Research Scientist,< 1 years,$0 ($USD),$0-999,25
688,35-39,Woman,India,Master’s degree,Currently not employed,5-10 years,,,35
449,30-34,Woman,Brazil,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years,,,30
320,22-24,Man,United States of America,Master’s degree,Other,3-5 years,$0 ($USD),"70,000-79,999",22
767,35-39,Woman,India,Doctoral degree,Research Scientist,1-3 years,$1-$99,"1,000-1,999",35
667,55-59,Woman,Brazil,Master’s degree,Business Analyst,1-3 years,$0 ($USD),$0-999,55
170,40-44,Man,United States of America,Master’s degree,Software Engineer,10-20 years,,,40
991,30-34,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,$1-$99,"30,000-39,999",30
1846,22-24,Man,India,Master’s degree,Student,1-3 years,,,22
732,25-29,Woman,Pakistan,Master’s degree,Data Analyst,< 1 years,$1-$99,"2,000-2,999",25
566,60-69,Man,United States of America,Master’s degree,Software Engineer,20+ years,"$100,000 or more ($USD)","100,000-124,999",60
1075,50-54,Man,United States of America,Master’s degree,Currently not employed,20+ years,,,50
442,35-39,Man,Indonesia,No formal education past high school,Data Scientist,I have never written code,$0 ($USD),$0-999,35
1469,30-34,Man,China,Master’s degree,Machine Learning Engineer,1-3 years,$1-$99,"3,000-3,999",30
526,30-34,Man,Denmark,Doctoral degree,Data Scientist,10-20 years,"$1000-$9,999","100,000-124,999",30
824,25-29,Woman,India,Bachelor’s degree,Data Analyst,< 1 years,"$10,000-$99,999","5,000-7,499",25
922,35-39,Man,Australia,Master’s degree,Currently not employed,5-10 years,,,35
378,35-39,Woman,Other,Master’s degree,Data Analyst,10-20 years,,,35
1945,45-49,Prefer not to say,Brazil,Bachelor’s degree,Research Scientist,10-20 years,"$10,000-$99,999",$0-999,45
578,18-21,Man,India,Master’s degree,Student,1-3 years,,,18
237,22-24,Man,Other,Bachelor’s degree,Currently not employed,5-10 years,,,22
756,25-29,Woman,Pakistan,Doctoral degree,Data Analyst,3-5 years,"$1000-$9,999",$0-999,25
599,25-29,Woman,India,Master’s degree,Data Analyst,1-3 years,$1-$99,$0-999,25
480,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,1-3 years,,,25
264,25-29,Man,Nigeria,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years,,,25
4088,45-49,Man,Germany,Master’s degree,Program/Project Manager,10-20 years,"$100,000 or more ($USD)","100,000-124,999",45
1066,25-29,Man,Kenya,Bachelor’s degree,Software Engineer,5-10 years,"$10,000-$99,999",$0-999,25
509,22-24,Man,South Korea,Bachelor’s degree,Other,1-3 years,$100-$999,"3,000-3,999",22
187,22-24,Man,India,Master’s degree,Currently not employed,3-5 years,,,22
372,22-24,Man,Bangladesh,Bachelor’s degree,Student,1-3 years,,,22
356,25-29,Woman,Philippines,Bachelor’s degree,Currently not employed,< 1 years,,,25
445,22-24,Man,India,Master’s degree,Student,< 1 years,,,22
841,35-39,Man,Turkey,Master’s degree,Software Engineer,< 1 years,$100-$999,"2,000-2,999",35
569,18-21,Woman,India,Master’s degree,Student,< 1 years,,,18
984,40-44,Man,Canada,Master’s degree,Data Analyst,< 1 years,$1-$99,$0-999,40
85290,50-54,Man,United States of America,Bachelor’s degree,Software Engineer,20+ years,"$100,000 or more ($USD)","250,000-299,999",50
3143,30-34,Man,Nigeria,Master’s degree,Data Analyst,1-3 years,"$1000-$9,999","10,000-14,999",30
1159,45-49,Woman,Singapore,Master’s degree,Research Scientist,10-20 years,"$1000-$9,999","125,000-149,999",45
5097,22-24,Man,United States of America,Master’s degree,Student,3-5 years,,,22
501,35-39,Woman,United States of America,Master’s degree,Data Scientist,10-20 years,$1-$99,"150,000-199,999",35
622,25-29,Man,India,Master’s degree,Student,3-5 years,,,25
785,35-39,Man,Russia,Bachelor’s degree,Other,< 1 years,$0 ($USD),"20,000-24,999",35
489,22-24,Woman,India,Master’s degree,Research Scientist,I have never written code,$0 ($USD),$0-999,22
1984,18-21,Woman,Indonesia,Bachelor’s degree,Student,1-3 years,,,18
1112,22-24,Man,India,Bachelor’s degree,Business Analyst,1-3 years,"$100,000 or more ($USD)","2,000-2,999",22
904,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,18
