Q1,Q2,Q3,Q5
22-24,Man,India,Data Engineer
30-34,Man,Singapore,Data Scientist
22-24,Woman,India,Student
50-54,Man,Other,Data Scientist
60-69,Man,Argentina,Data Scientist
30-34,Man,Spain,Software Engineer
22-24,Woman,Morocco,Machine Learning Engineer
50-54,Man,Other,Software Engineer
25-29,Man,Nigeria,Program/Project Manager
22-24,Man,United States of America,Currently not employed
45-49,Man,Austria,Business Analyst
22-24,Man,United Kingdom of Great Britain and Northern Ireland,Student
35-39,Man,Singapore,Data Scientist
60-69,Man,United States of America,Product Manager
22-24,Man,India,Software Engineer
30-34,Man,India,Software Engineer
40-44,Man,Turkey,Other
18-21,Man,India,Software Engineer
40-44,Woman,Bangladesh,Currently not employed
30-34,Man,Turkey,Statistician
35-39,Man,Japan,Other
22-24,Woman,Taiwan,Currently not employed
25-29,Man,India,Currently not employed
22-24,Man,Kenya,Program/Project Manager
18-21,Man,India,Student
22-24,Woman,Tunisia,Student
35-39,Man,Brazil,Research Scientist
30-34,Man,United States of America,Data Scientist
18-21,Man,Brazil,Data Analyst
35-39,Man,Egypt,Other
60-69,Man,Canada,Program/Project Manager
30-34,Man,India,Other
30-34,Man,United States of America,Business Analyst
40-44,Man,Japan,Business Analyst
55-59,Man,United States of America,Data Scientist
18-21,Man,India,Student
30-34,Woman,Sweden,Data Scientist
40-44,Man,Australia,Software Engineer
35-39,Man,Nigeria,Research Scientist
22-24,Woman,Turkey,Data Scientist
40-44,Man,Russia,Business Analyst
25-29,Man,Other,Data Engineer
25-29,Man,Egypt,Research Scientist
30-34,Man,Russia,Software Engineer
30-34,Man,India,Data Scientist
22-24,Man,India,Student
30-34,Man,United States of America,Other
22-24,Man,India,Software Engineer
30-34,Man,United States of America,Data Scientist
18-21,Man,Belarus,Student
22-24,Man,France,Data Scientist
18-21,Man,India,Student
45-49,Man,South Africa,Currently not employed
35-39,Man,Egypt,Student
30-34,Nonbinary,Mexico,Student
55-59,Man,Brazil,Other
18-21,Woman,India,Student
18-21,Man,India,Student
35-39,Woman,Ireland,Statistician
30-34,Man,Colombia,Machine Learning Engineer
18-21,Prefer not to say,India,Student
30-34,Man,India,Machine Learning Engineer
18-21,Woman,India,Student
30-34,Man,India,Data Analyst
60-69,Man,United States of America,Student
35-39,Man,Argentina,Program/Project Manager
70+,Man,Australia,Other
18-21,Man,Australia,Data Scientist
45-49,Man,Portugal,Other
18-21,Man,Other,Software Engineer
25-29,Woman,Hong Kong (S.A.R.),Data Scientist
25-29,Man,Japan,Machine Learning Engineer
25-29,Man,India,Data Scientist
22-24,Man,India,Data Scientist
22-24,Man,China,Data Scientist
55-59,Woman,Israel,Currently not employed
25-29,Man,Nigeria,Research Scientist
50-54,Man,Austria,Software Engineer
22-24,Man,India,Student
18-21,Woman,India,Student
45-49,Man,Sweden,Software Engineer
25-29,Man,United States of America,Student
50-54,Man,Japan,Software Engineer
30-34,Man,United States of America,Student
30-34,Woman,India,Currently not employed
40-44,Man,India,Machine Learning Engineer
18-21,Man,Mexico,Student
35-39,Man,France,Data Scientist
18-21,Woman,India,Student
25-29,Man,Spain,Machine Learning Engineer
22-24,Man,Ukraine,Data Analyst
25-29,Man,India,Research Scientist
35-39,Woman,India,Currently not employed
30-34,Woman,Brazil,Currently not employed
22-24,Man,United States of America,Other
35-39,Woman,India,Research Scientist
55-59,Woman,Brazil,Business Analyst
40-44,Man,United States of America,Software Engineer
30-34,Man,India,Machine Learning Engineer
22-24,Man,India,Student
25-29,Woman,Pakistan,Data Analyst
60-69,Man,United States of America,Software Engineer
50-54,Man,United States of America,Currently not employed
35-39,Man,Indonesia,Data Scientist
30-34,Man,China,Machine Learning Engineer
30-34,Man,Denmark,Data Scientist
25-29,Woman,India,Data Analyst
35-39,Man,Australia,Currently not employed
35-39,Woman,Other,Data Analyst
45-49,Prefer not to say,Brazil,Research Scientist
18-21,Man,India,Student
22-24,Man,Other,Currently not employed
25-29,Woman,Pakistan,Data Analyst
25-29,Woman,India,Data Analyst
25-29,Man,United Kingdom of Great Britain and Northern Ireland,Student
25-29,Man,Nigeria,Currently not employed
45-49,Man,Germany,Program/Project Manager
25-29,Man,Kenya,Software Engineer
22-24,Man,South Korea,Other
22-24,Man,India,Currently not employed
22-24,Man,Bangladesh,Student
25-29,Woman,Philippines,Currently not employed
22-24,Man,India,Student
35-39,Man,Turkey,Software Engineer
18-21,Woman,India,Student
40-44,Man,Canada,Data Analyst
50-54,Man,United States of America,Software Engineer
30-34,Man,Nigeria,Data Analyst
45-49,Woman,Singapore,Research Scientist
22-24,Man,United States of America,Student
35-39,Woman,United States of America,Data Scientist
25-29,Man,India,Student
35-39,Man,Russia,Other
22-24,Woman,India,Research Scientist
18-21,Woman,Indonesia,Student
22-24,Man,India,Business Analyst
18-21,Man,India,Student
22-24,Man,China,Program/Project Manager
45-49,Man,Other,Business Analyst
30-34,Woman,United States of America,Data Engineer
50-54,Man,Russia,Currently not employed
40-44,Man,Mexico,Business Analyst
50-54,Man,United Kingdom of Great Britain and Northern Ireland,Developer Relations/Advocacy
30-34,Woman,India,Research Scientist
25-29,Prefer not to say,Germany,Research Scientist
22-24,Woman,Nigeria,Student
25-29,Man,India,Software Engineer
25-29,Woman,Nigeria,Student
45-49,Man,India,Statistician
30-34,Man,United Kingdom of Great Britain and Northern Ireland,Machine Learning Engineer
30-34,Nonbinary,Kenya,Machine Learning Engineer
25-29,Woman,Sri Lanka,Student
35-39,Woman,Tunisia,Data Analyst
60-69,Man,Chile,Other
22-24,Man,China,Data Analyst
18-21,Woman,Bangladesh,Machine Learning Engineer
60-69,Man,United States of America,Software Engineer
25-29,Man,India,Data Scientist
40-44,Man,Other,Student
35-39,Woman,India,Currently not employed
22-24,Woman,United Kingdom of Great Britain and Northern Ireland,Data Scientist
18-21,Man,Indonesia,Student
25-29,Woman,India,Currently not employed
18-21,Man,India,Student
25-29,Man,India,Data Engineer
40-44,Man,Japan,Other
35-39,Man,India,Currently not employed
40-44,Man,Japan,Data Scientist
25-29,Man,France,Data Scientist
30-34,Woman,United Arab Emirates,Currently not employed
35-39,Man,Nigeria,Software Engineer
22-24,Man,India,Other
35-39,Man,Sweden,Research Scientist
18-21,Man,India,Currently not employed
25-29,Woman,United States of America,Student
40-44,Man,France,Data Scientist
22-24,Man,Uganda,Currently not employed
25-29,Man,India,Data Scientist
35-39,Man,South Africa,Data Scientist
45-49,Man,Russia,Product Manager
35-39,Man,Spain,Research Scientist
25-29,Man,Sri Lanka,Data Scientist
40-44,Man,Saudi Arabia,Other
25-29,Woman,Italy,Data Analyst
18-21,Man,Nigeria,Data Scientist
70+,Man,United States of America,Currently not employed
50-54,Man,Portugal,Research Scientist
18-21,Man,India,Student
30-34,Man,India,Data Scientist
55-59,Man,Netherlands,Data Scientist
35-39,Man,Brazil,Data Scientist
18-21,Woman,India,Student
18-21,Man,Ireland,Currently not employed
18-21,Man,India,Student
25-29,Man,India,Data Scientist
22-24,Man,China,Machine Learning Engineer
30-34,Man,India,Software Engineer
30-34,Man,United States of America,Data Scientist
30-34,Man,Ghana,Software Engineer
40-44,Man,India,Data Engineer
35-39,Man,India,Software Engineer
25-29,Man,India,Currently not employed
22-24,Man,Egypt,Data Scientist
25-29,Woman,United Kingdom of Great Britain and Northern Ireland,Student
22-24,Man,Poland,Business Analyst
55-59,Man,United Kingdom of Great Britain and Northern Ireland,Currently not employed
35-39,Man,United States of America,Business Analyst
18-21,Man,Viet Nam,Student
25-29,Woman,Egypt,Other
18-21,Woman,Other,Student
25-29,Man,India,Other
25-29,Man,Canada,Other
35-39,Man,Kenya,Currently not employed
18-21,Man,India,DBA/Database Engineer
25-29,Man,Mexico,Data Scientist
50-54,Man,South Korea,Program/Project Manager
35-39,Man,Nigeria,DBA/Database Engineer
45-49,Man,France,Currently not employed
25-29,Woman,India,Data Analyst
60-69,Man,India,Software Engineer
25-29,Man,Taiwan,Currently not employed
60-69,Man,India,Program/Project Manager
22-24,Man,Nigeria,Data Engineer
25-29,Man,Malaysia,Data Scientist
22-24,Man,Taiwan,Student
25-29,Woman,Thailand,Other
18-21,Woman,Colombia,Software Engineer
35-39,Man,Other,Student
18-21,Man,India,Student
45-49,Man,Japan,Other
25-29,Woman,Spain,Software Engineer
18-21,Prefer not to say,India,Student
40-44,Man,Australia,Data Engineer
25-29,Man,Germany,Student
50-54,Man,Israel,Product Manager
25-29,Man,Brazil,Data Scientist
35-39,Man,United States of America,Data Scientist
50-54,Woman,United States of America,Data Scientist
18-21,Man,Indonesia,Research Scientist
50-54,Man,Spain,Data Analyst
50-54,Man,United States of America,Product Manager
18-21,Man,Singapore,Student
35-39,Man,Greece,Data Scientist
18-21,Man,India,Student
40-44,Man,Ukraine,Software Engineer
22-24,Woman,Brazil,Data Scientist
35-39,Woman,India,Research Scientist
25-29,Woman,India,Data Scientist
25-29,Man,Colombia,Data Analyst
25-29,Man,Russia,Data Scientist
18-21,Woman,United States of America,Other
40-44,Man,Sweden,Currently not employed
30-34,Man,South Korea,Student
55-59,Woman,Turkey,Statistician
25-29,Man,Tunisia,Currently not employed
22-24,Man,United Kingdom of Great Britain and Northern Ireland,Data Engineer
22-24,Man,India,Business Analyst
25-29,Man,India,Data Scientist
45-49,Woman,United States of America,Student
30-34,Man,Russia,Software Engineer
30-34,Man,Pakistan,Currently not employed
30-34,Man,Argentina,Student
25-29,Man,Russia,Product Manager
25-29,Woman,Turkey,Data Scientist
22-24,Man,India,Data Scientist
40-44,Prefer not to say,India,Software Engineer
35-39,Man,United Arab Emirates,Data Engineer
25-29,Man,Other,Data Scientist
45-49,Man,Saudi Arabia,Other
18-21,Woman,India,Student
35-39,Woman,Egypt,Research Scientist
18-21,Man,Nigeria,Student
40-44,Man,Turkey,Program/Project Manager
30-34,Woman,United States of America,Data Analyst
30-34,Woman,Italy,Business Analyst
18-21,Man,Other,Software Engineer
35-39,Man,Mexico,Statistician
25-29,Man,India,Data Scientist
22-24,Man,India,Student
30-34,Man,Indonesia,Data Analyst
22-24,Man,India,Software Engineer
22-24,Man,Spain,Other
22-24,Man,China,Student
22-24,Man,Sri Lanka,Data Analyst
18-21,Man,India,Student
18-21,Man,Brazil,Data Scientist
18-21,Man,Indonesia,Machine Learning Engineer
30-34,Man,India,Research Scientist
25-29,Man,Indonesia,Statistician
30-34,Man,United States of America,Program/Project Manager
22-24,Man,India,Software Engineer
35-39,Woman,India,Software Engineer
22-24,Prefer to self-describe,United States of America,Student
18-21,Man,Nigeria,Currently not employed
30-34,Man,Nigeria,Data Scientist
40-44,Man,India,Data Scientist
30-34,Man,United States of America,Program/Project Manager
25-29,Man,United States of America,Data Analyst
22-24,Man,India,Currently not employed
18-21,Man,Japan,Program/Project Manager
35-39,Man,United States of America,Data Analyst
22-24,Man,India,Data Scientist
30-34,Man,Other,Research Scientist
22-24,Man,China,Student
30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Data Analyst
18-21,Man,China,Business Analyst
30-34,Man,India,Software Engineer
40-44,Man,Turkey,Student
25-29,Man,Pakistan,Student
50-54,Man,Japan,Other
25-29,Woman,India,Data Analyst
25-29,Man,Austria,Data Scientist
25-29,Man,Nepal,Software Engineer
18-21,Man,Peru,Student
30-34,Man,Viet Nam,Software Engineer
45-49,Man,India,Data Scientist
35-39,Man,Turkey,Other
30-34,Man,United States of America,Student
45-49,Man,India,Other
18-21,Man,India,Machine Learning Engineer
22-24,Woman,India,Data Analyst
35-39,Man,India,Currently not employed
22-24,Woman,India,Student
25-29,Woman,Japan,Other
35-39,Man,South Korea,Software Engineer
50-54,Woman,United States of America,Data Scientist
18-21,Man,Bangladesh,Student
25-29,Man,Nigeria,Statistician
22-24,Man,United States of America,Student
35-39,Prefer not to say,United States of America,Student
35-39,Man,Ghana,Program/Project Manager
30-34,Man,United States of America,Data Scientist
45-49,Man,United States of America,Data Engineer
40-44,Man,Tunisia,Student
45-49,Man,South Korea,Currently not employed
22-24,Man,India,Currently not employed
18-21,Woman,India,Student
25-29,Man,Uganda,Currently not employed
18-21,Woman,India,Machine Learning Engineer
35-39,Man,Brazil,Other
22-24,Man,Russia,Machine Learning Engineer
55-59,Man,Sweden,Program/Project Manager
22-24,Man,India,Other
22-24,Man,Indonesia,Student
30-34,Man,United Kingdom of Great Britain and Northern Ireland,Research Scientist
18-21,Man,China,Student
25-29,Man,India,Student
30-34,Woman,Italy,Software Engineer
60-69,Man,United States of America,Other
45-49,Man,South Korea,Product Manager
25-29,Man,United States of America,Research Scientist
25-29,Man,"Iran, Islamic Republic of...",Student
18-21,Woman,Turkey,Data Analyst
35-39,Man,Other,Program/Project Manager
25-29,Man,Malaysia,Data Scientist
18-21,Woman,India,Student
35-39,Woman,United States of America,Data Scientist
18-21,Woman,India,Student
22-24,Man,Kenya,Data Engineer
25-29,Man,Taiwan,Software Engineer
50-54,Man,United Kingdom of Great Britain and Northern Ireland,Research Scientist
45-49,Man,Italy,Data Scientist
50-54,Man,South Korea,Machine Learning Engineer
25-29,Man,India,Student
35-39,Man,China,Data Analyst
18-21,Man,India,Software Engineer
18-21,Man,Kazakhstan,Student
35-39,Man,United States of America,Software Engineer
25-29,Man,Mexico,Statistician
18-21,Man,India,Student
55-59,Man,United States of America,Data Engineer
18-21,Man,India,Student
22-24,Woman,India,Currently not employed
40-44,Man,United States of America,Student
40-44,Man,Japan,Other
25-29,Man,Russia,Data Scientist
22-24,Man,India,Data Analyst
22-24,Man,India,Software Engineer
60-69,Man,Italy,Business Analyst
25-29,Man,Germany,Data Scientist
18-21,Man,India,Currently not employed
22-24,Man,India,Program/Project Manager
22-24,Man,Nigeria,Research Scientist
35-39,Man,Other,Research Scientist
22-24,Man,United States of America,Data Analyst
18-21,Man,India,Data Scientist
18-21,Man,India,Student
25-29,Man,India,Student
35-39,Man,United States of America,Other
55-59,Man,United States of America,Currently not employed
35-39,Man,United States of America,Software Engineer
18-21,Man,"Iran, Islamic Republic of...",Student
30-34,Man,Tunisia,Other
18-21,Man,Portugal,Student
22-24,Man,Brazil,Data Scientist
22-24,Man,India,Student
18-21,Woman,India,Student
35-39,Man,United Kingdom of Great Britain and Northern Ireland,Student
25-29,Woman,India,Currently not employed
35-39,Man,Australia,Other
22-24,Man,Germany,Machine Learning Engineer
22-24,Woman,"Iran, Islamic Republic of...",Data Scientist
30-34,Man,Italy,Software Engineer
30-34,Man,Japan,Business Analyst
35-39,Woman,United Kingdom of Great Britain and Northern Ireland,Software Engineer
45-49,Man,Russia,Other
25-29,Man,I do not wish to disclose my location,Research Scientist
22-24,Man,Pakistan,Data Analyst
18-21,Woman,India,Student
30-34,Man,Brazil,Software Engineer
18-21,Man,India,Student
40-44,Man,Nigeria,Research Scientist
18-21,Man,United Kingdom of Great Britain and Northern Ireland,Research Scientist
22-24,Man,India,Student
22-24,Man,Italy,Student
22-24,Man,India,Software Engineer
22-24,Man,Other,Currently not employed
35-39,Man,Other,Data Analyst
25-29,Man,Egypt,Data Engineer
30-34,Man,Brazil,Other
18-21,Man,India,Student
22-24,Man,Ukraine,Data Analyst
30-34,Man,Canada,Data Engineer
25-29,Man,Malaysia,Data Scientist
22-24,Woman,India,Data Scientist
22-24,Man,Brazil,Student
25-29,Man,Japan,Machine Learning Engineer
25-29,Woman,Germany,Student
22-24,Man,Egypt,Data Scientist
30-34,Man,Indonesia,Program/Project Manager
35-39,Man,Kenya,Data Analyst
22-24,Man,India,Business Analyst
50-54,Man,France,Currently not employed
25-29,Man,Other,Product Manager
60-69,Man,United States of America,Other
18-21,Man,India,Student
25-29,Man,India,Currently not employed
22-24,Man,Ghana,Software Engineer
22-24,Woman,India,Currently not employed
50-54,Man,United States of America,Data Scientist
22-24,Man,Kenya,Student
22-24,Woman,Turkey,Student
25-29,Man,China,Student
25-29,Man,Kenya,Currently not employed
30-34,Man,Canada,Student
60-69,Man,Russia,Data Scientist
25-29,Man,Russia,Business Analyst
40-44,Man,Russia,Data Engineer
35-39,Man,Russia,Research Scientist
30-34,Man,"Iran, Islamic Republic of...",Data Analyst
25-29,Man,Colombia,Data Scientist
25-29,Man,Other,Business Analyst
18-21,Man,Pakistan,Student
40-44,Man,Tunisia,Currently not employed
40-44,Man,Japan,Research Scientist
45-49,Man,United States of America,Data Analyst
50-54,Man,Poland,Business Analyst
18-21,Man,Indonesia,Student
50-54,Man,Turkey,Other
18-21,Man,India,Data Scientist
22-24,Man,India,Statistician
22-24,Man,Russia,Currently not employed
35-39,Woman,Other,Data Analyst
22-24,Man,India,Software Engineer
22-24,Man,India,Student
22-24,Man,Morocco,Student
30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Research Scientist
18-21,Woman,China,Data Analyst
25-29,Woman,Nigeria,Software Engineer
25-29,Woman,Nigeria,Data Scientist
22-24,Man,India,Software Engineer
25-29,Man,Argentina,Currently not employed
25-29,Man,South Korea,Data Analyst
55-59,Man,Australia,Other
22-24,Man,Morocco,Student
30-34,Man,Other,Data Analyst
22-24,Woman,Taiwan,Currently not employed
30-34,Man,India,Data Scientist
25-29,Man,Brazil,Currently not employed
25-29,Man,Turkey,Data Scientist
35-39,Woman,United States of America,Other
30-34,Man,Russia,Data Analyst
22-24,Man,United States of America,Student
35-39,Man,Switzerland,Other
18-21,Man,Indonesia,Student
25-29,Man,India,Currently not employed
25-29,Man,South Korea,Currently not employed
35-39,Man,China,Business Analyst
30-34,Woman,Pakistan,Software Engineer
25-29,Man,Brazil,Data Scientist
30-34,Man,United States of America,Data Scientist
55-59,Man,United States of America,Other
40-44,Woman,United States of America,Other
22-24,Woman,United Kingdom of Great Britain and Northern Ireland,Student
35-39,Man,India,Software Engineer
22-24,Man,Peru,Data Analyst
60-69,Man,Taiwan,Research Scientist
30-34,Man,Colombia,Data Scientist
25-29,Man,India,Research Scientist
30-34,Man,India,Data Engineer
35-39,Man,Indonesia,Other
70+,Man,Italy,Developer Relations/Advocacy
18-21,Man,Mexico,Student
22-24,Woman,Bangladesh,Student
35-39,Woman,United States of America,Research Scientist
60-69,Man,United States of America,Program/Project Manager
25-29,Man,India,Currently not employed
35-39,Man,"Iran, Islamic Republic of...",Data Scientist
22-24,Man,United States of America,Data Analyst
22-24,Man,Morocco,Data Scientist
22-24,Man,India,Software Engineer
30-34,Man,Brazil,Student
22-24,Man,Spain,Data Scientist
50-54,Man,Other,Data Scientist
40-44,Man,United Kingdom of Great Britain and Northern Ireland,Business Analyst
30-34,Man,Taiwan,Software Engineer
30-34,Man,Pakistan,Machine Learning Engineer
45-49,Man,Japan,Program/Project Manager
50-54,Man,Egypt,Data Analyst
30-34,Woman,Belgium,Student
30-34,Man,Pakistan,Machine Learning Engineer
45-49,Man,Morocco,Student
25-29,Man,Other,Student
18-21,Man,India,Student
18-21,Man,Viet Nam,Business Analyst
25-29,Man,Russia,Currently not employed
40-44,Prefer not to say,Japan,Machine Learning Engineer
22-24,Man,Viet Nam,Student
35-39,Man,United States of America,Data Scientist
25-29,Woman,Pakistan,Student
22-24,Woman,Austria,Currently not employed
30-34,Man,Russia,Program/Project Manager
30-34,Woman,United Arab Emirates,Business Analyst
18-21,Man,India,Student
18-21,Man,India,Student
22-24,Man,Spain,Machine Learning Engineer
35-39,Man,Bangladesh,Software Engineer
25-29,Man,India,Other
25-29,Man,India,Software Engineer
30-34,Prefer not to say,India,Software Engineer
18-21,Woman,India,Student
45-49,Man,Australia,Program/Project Manager
22-24,Man,Algeria,Currently not employed
35-39,Man,Other,Student
18-21,Man,India,Student
18-21,Woman,India,Student
25-29,Woman,Other,Research Scientist
40-44,Woman,United States of America,Software Engineer
60-69,Man,United States of America,Machine Learning Engineer
25-29,Man,South Korea,Student
50-54,Man,United States of America,Data Scientist
22-24,Man,Nigeria,Student
22-24,Woman,Other,Data Analyst
40-44,Man,Belgium,Data Analyst
50-54,Man,United States of America,DBA/Database Engineer
25-29,Man,Bangladesh,Student
60-69,Man,France,Data Scientist
40-44,Man,Japan,Program/Project Manager
22-24,Man,Bangladesh,Student
35-39,Man,Germany,Data Scientist
18-21,Woman,India,Student
18-21,Man,Indonesia,Student
30-34,Woman,India,Research Scientist
35-39,Man,Spain,Other
35-39,Man,Philippines,Other
45-49,Man,Turkey,Research Scientist
25-29,Woman,India,Data Analyst
35-39,Woman,India,Currently not employed
18-21,Man,India,Data Scientist
22-24,Man,"Iran, Islamic Republic of...",Student
18-21,Woman,Indonesia,Data Analyst
22-24,Woman,Indonesia,DBA/Database Engineer
22-24,Woman,Pakistan,Machine Learning Engineer
30-34,Man,Germany,Data Analyst
18-21,Woman,India,Student
22-24,Man,Viet Nam,Software Engineer
40-44,Man,Nigeria,Data Engineer
22-24,Man,Egypt,Currently not employed
30-34,Man,India,Data Engineer
30-34,Man,"Iran, Islamic Republic of...",Business Analyst
50-54,Man,United States of America,Data Engineer
18-21,Man,Other,Student
25-29,Man,Germany,Machine Learning Engineer
45-49,Man,Spain,Data Scientist
45-49,Prefer not to say,United States of America,Data Scientist
18-21,Man,India,Student
40-44,Man,United States of America,Machine Learning Engineer
35-39,Woman,Other,Student
55-59,Man,United States of America,Data Scientist
22-24,Prefer not to say,I do not wish to disclose my location,Currently not employed
35-39,Man,"Iran, Islamic Republic of...",Other
22-24,Woman,India,Machine Learning Engineer
45-49,Man,United States of America,Other
25-29,Woman,United States of America,Data Scientist
35-39,Man,China,Program/Project Manager
22-24,Man,Colombia,Business Analyst
18-21,Man,India,Student
30-34,Man,France,Data Analyst
30-34,Man,China,Data Analyst
25-29,Man,South Korea,Data Analyst
30-34,Man,United States of America,Currently not employed
30-34,Woman,Indonesia,Other
25-29,Man,Algeria,Other
22-24,Man,Austria,Student
18-21,Man,Pakistan,Developer Relations/Advocacy
45-49,Man,South Korea,Student
30-34,Woman,Nigeria,Data Analyst
40-44,Man,Portugal,Research Scientist
35-39,Man,India,Other
30-34,Man,India,Data Scientist
30-34,Man,Other,Data Scientist
22-24,Man,Mexico,Software Engineer
22-24,Man,Kenya,Student
18-21,Woman,India,Student
40-44,Man,Russia,Software Engineer
30-34,Woman,Other,Data Analyst
35-39,Man,Brazil,Data Engineer
22-24,Man,United States of America,Student
35-39,Man,Viet Nam,Business Analyst
25-29,Woman,United Kingdom of Great Britain and Northern Ireland,Data Scientist
