,Response Time,Age,Gender,Country,Education,Job Title,Experience,Investment,Compensation,Salary,Avg. Investment
28,525,22-24,Woman,"Iran, Islamic Republic of...",Bachelor’s degree,Data Scientist,3-5 years,$0 ($USD),$0-999,500.0,0
29,501,18-21,Man,India,Bachelor’s degree,Student,< 1 years,0,0,0.0,0
30,415,22-24,Man,India,Bachelor’s degree,Other,1-3 years,$100-$999,"7,500-9,999",8500.0,500
31,317,30-34,Man,India,Master’s degree,Data Scientist,5-10 years,"$100,000 or more ($USD)","100,000-124,999",120000.0,100000
32,171,22-24,Nonbinary,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,0,0,0.0,0
33,744,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,3-5 years,$0 ($USD),"7,500-9,999",8500.0,0
34,668,22-24,Man,India,Bachelor’s degree,Student,1-3 years,0,0,0.0,0
35,460,30-34,Woman,Brazil,Bachelor’s degree,Currently not employed,< 1 years,0,0,0.0,0
36,244,25-29,Woman,Egypt,Master’s degree,Currently not employed,< 1 years,0,0,0.0,0
37,901,30-34,Man,Brazil,Bachelor’s degree,Student,3-5 years,0,0,0.0,0
38,625,22-24,Man,Japan,No formal education past high school,Software Engineer,3-5 years,$0 ($USD),"2,000-2,999",25000.0,0
39,1239,18-21,Man,India,Bachelor’s degree,Student,< 1 years,0,0,0.0,0
40,229993,25-29,Man,Brazil,Master’s degree,Data Scientist,5-10 years,0,0,0.0,0
41,312,25-29,Man,Italy,Master’s degree,Other,1-3 years,$1-$99,"30,000-39,999",35000.0,50
42,976,55-59,Man,United States of America,Master’s degree,Software Engineer,10-20 years,"$1000-$9,999","15,000-19,999",17000.0,5000
43,1890,30-34,Woman,Viet Nam,Master’s degree,Machine Learning Engineer,1-3 years,"$1000-$9,999","4,000-4,999",4500.0,5000
44,357,18-21,Man,United States of America,Some college/university study without earning a bachelor’s degree,Student,1-3 years,0,0,0.0,0
45,660,40-44,Man,Israel,Master’s degree,Data Scientist,3-5 years,"$10,000-$99,999","100,000-124,999",120000.0,50000
46,1524,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,$0 ($USD),$0-999,500.0,0
47,453,18-21,Woman,Egypt,Bachelor’s degree,Student,1-3 years,0,0,0.0,0
48,793,25-29,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,$1-$99,"1,000-1,999",1500.0,50
49,557,30-34,Woman,United States of America,Master’s degree,Data Scientist,5-10 years,"$1000-$9,999","100,000-124,999",120000.0,5000
50,5215,25-29,Man,Peru,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years,0,0,0.0,0
51,483,40-44,Man,United States of America,Bachelor’s degree,Research Scientist,< 1 years,$0 ($USD),"70,000-79,999",75000.0,0
52,866,40-44,Man,South Africa,Master’s degree,Data Analyst,1-3 years,$100-$999,"25,000-29,999",27000.0,500
53,1045,40-44,Man,Other,Master’s degree,Business Analyst,1-3 years,$1-$99,"60,000-69,999",65000.0,50
54,359,30-34,Man,Spain,Master’s degree,Currently not employed,1-3 years,0,0,0.0,0
55,1006,22-24,Woman,Bangladesh,Bachelor’s degree,Software Engineer,5-10 years,$0 ($USD),"7,500-9,999",8500.0,0
56,95756,30-34,Woman,Indonesia,Master’s degree,Student,1-3 years,0,0,0.0,0
57,642,35-39,Woman,Russia,I prefer not to answer,Data Scientist,1-3 years,$0 ($USD),$0-999,500.0,0
58,528,18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,1-3 years,$1-$99,$0-999,500.0,50
59,1093,35-39,Man,India,Bachelor’s degree,Program/Project Manager,1-3 years,$1-$99,"2,000-2,999",25000.0,50
60,565,18-21,Man,Japan,Some college/university study without earning a bachelor’s degree,Student,< 1 years,0,0,0.0,0
61,405,18-21,Man,Russia,Bachelor’s degree,Machine Learning Engineer,3-5 years,$0 ($USD),$0-999,500.0,0
62,872,30-34,Man,Japan,Master’s degree,Data Scientist,1-3 years,$100-$999,"40,000-49,999",45000.0,500
63,434,18-21,Man,India,Bachelor’s degree,Student,< 1 years,0,0,0.0,0
64,419,18-21,Man,India,Bachelor’s degree,Student,1-3 years,0,0,0.0,0
65,1479,40-44,Man,Russia,Doctoral degree,Data Engineer,1-3 years,"$1000-$9,999",$0-999,500.0,5000
66,665,30-34,Prefer not to say,China,I prefer not to answer,Data Analyst,< 1 years,$0 ($USD),$0-999,500.0,0
67,1073,30-34,Man,Other,Master’s degree,Business Analyst,1-3 years,$100-$999,"7,500-9,999",8500.0,500
68,626,35-39,Man,India,Bachelor’s degree,Other,< 1 years,"$1000-$9,999","2,000-2,999",25000.0,5000
69,743,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Other,20+ years,"$100,000 or more ($USD)","50,000-59,999",55000.0,100000
70,854,25-29,Man,India,Bachelor’s degree,Currently not employed,< 1 years,0,0,0.0,0
71,767,22-24,Man,Mexico,Some college/university study without earning a bachelor’s degree,Other,3-5 years,$1-$99,"5,000-7,499",65000.0,50
72,4971,30-34,Woman,"Iran, Islamic Republic of...",Master’s degree,Software Engineer,5-10 years,$0 ($USD),"3,000-3,999",3500.0,0
73,560,45-49,Man,Turkey,Master’s degree,Program/Project Manager,20+ years,$100-$999,"3,000-3,999",3500.0,500
74,2399,22-24,Man,Brazil,Master’s degree,Student,5-10 years,0,0,0.0,0
75,786,40-44,Man,France,Doctoral degree,Research Scientist,3-5 years,$0 ($USD),"3,000-3,999",3500.0,0
76,1293,50-54,Man,United States of America,Master’s degree,Data Engineer,20+ years,"$100,000 or more ($USD)","300,000-499,999",500000.0,100000
77,395,22-24,Man,China,Master’s degree,Business Analyst,< 1 years,"$10,000-$99,999","20,000-24,999",23000.0,50000
78,555,25-29,Man,Switzerland,Doctoral degree,Student,5-10 years,0,0,0.0,0
79,77678,22-24,Man,India,Bachelor’s degree,Currently not employed,1-3 years,0,0,0.0,0
80,1643,35-39,Man,United States of America,Professional doctorate,Research Scientist,10-20 years,"$10,000-$99,999","200,000-249,999",225000.0,50000
81,3454,30-34,Man,Other,Master’s degree,Software Engineer,5-10 years,"$1000-$9,999","50,000-59,999",55000.0,5000
82,986,30-34,Man,India,Master’s degree,Business Analyst,1-3 years,$0 ($USD),"20,000-24,999",23000.0,0
83,1062,18-21,Man,India,Master’s degree,Student,1-3 years,0,0,0.0,0
84,161,25-29,Man,Algeria,Professional doctorate,Student,I have never written code,0,0,0.0,0
85,648,22-24,Man,Bangladesh,Bachelor’s degree,Student,1-3 years,0,0,0.0,0
86,432,25-29,Man,Tunisia,Master’s degree,Data Scientist,5-10 years,"$1000-$9,999","20,000-24,999",23000.0,5000
87,508,25-29,Man,United States of America,Master’s degree,Data Scientist,1-3 years,$0 ($USD),"70,000-79,999",75000.0,0
88,463,25-29,Woman,Italy,Bachelor’s degree,Student,1-3 years,0,0,0.0,0
89,642,55-59,Man,United States of America,Bachelor’s degree,Software Engineer,20+ years,"$10,000-$99,999","125,000-149,999",132000.0,50000
90,50748,25-29,Woman,Argentina,Master’s degree,Data Scientist,< 1 years,$100-$999,"10,000-14,999",12000.0,500
91,674,30-34,Man,United States of America,Master’s degree,Business Analyst,1-3 years,"$1000-$9,999","60,000-69,999",65000.0,5000
92,548,22-24,Man,Sweden,Master’s degree,Student,5-10 years,0,0,0.0,0
93,750,55-59,Man,United States of America,Bachelor’s degree,Other,1-3 years,$0 ($USD),"70,000-79,999",75000.0,0
94,532,18-21,Man,India,Bachelor’s degree,Data Scientist,< 1 years,$0 ($USD),$0-999,500.0,0
95,1423,30-34,Man,Colombia,Bachelor’s degree,Student,5-10 years,0,0,0.0,0
96,661,25-29,Man,India,Master’s degree,Machine Learning Engineer,1-3 years,$100-$999,"10,000-14,999",12000.0,500
97,638,40-44,Man,Italy,Master’s degree,Software Engineer,20+ years,$100-$999,"40,000-49,999",45000.0,500
98,585,22-24,Man,India,Bachelor’s degree,Currently not employed,< 1 years,0,0,0.0,0
99,370,22-24,Man,India,Master’s degree,Student,< 1 years,0,0,0.0,0
100,174,18-21,Woman,Singapore,Some college/university study without earning a bachelor’s degree,Student,< 1 years,0,0,0.0,0
101,294,25-29,Man,India,Master’s degree,Software Engineer,1-3 years,$0 ($USD),"7,500-9,999",8500.0,0
102,681,22-24,Man,India,Bachelor’s degree,Data Analyst,< 1 years,$0 ($USD),"1,000-1,999",1500.0,0
103,444,25-29,Man,I do not wish to disclose my location,Bachelor’s degree,Data Scientist,1-3 years,$100-$999,"4,000-4,999",4500.0,500
104,543,40-44,Woman,United States of America,Master’s degree,Other,5-10 years,$100-$999,"25,000-29,999",27000.0,500
105,824,35-39,Man,France,Doctoral degree,Software Engineer,10-20 years,$0 ($USD),"25,000-29,999",27000.0,0
106,3455,30-34,Man,India,Master’s degree,Data Analyst,1-3 years,0,0,0.0,0
107,728,55-59,Man,United States of America,Master’s degree,Data Scientist,20+ years,"$1000-$9,999","100,000-124,999",120000.0,5000
108,3097,40-44,Man,Israel,Bachelor’s degree,Data Analyst,< 1 years,$0 ($USD),"100,000-124,999",120000.0,0
109,531,22-24,Man,India,Bachelor’s degree,Data Analyst,1-3 years,$0 ($USD),"1,000-1,999",1500.0,0
110,699,18-21,Man,Nigeria,Bachelor’s degree,Student,3-5 years,0,0,0.0,0
111,378,22-24,Woman,Sweden,Master’s degree,Student,< 1 years,0,0,0.0,0
112,2932,45-49,Man,Poland,Master’s degree,Other,1-3 years,$0 ($USD),"50,000-59,999",55000.0,0
113,584,30-34,Woman,Canada,I prefer not to answer,Currently not employed,< 1 years,0,0,0.0,0
114,205,18-21,Man,Other,Bachelor’s degree,Other,1-3 years,0,0,0.0,0
115,1050,60-69,Man,India,Doctoral degree,Program/Project Manager,5-10 years,"$10,000-$99,999","10,000-14,999",12000.0,50000
116,61432,25-29,Man,Bangladesh,Bachelor’s degree,Other,3-5 years,$0 ($USD),"10,000-14,999",12000.0,0
117,445,40-44,Man,Indonesia,Master’s degree,Currently not employed,20+ years,0,0,0.0,0
118,918,18-21,Woman,India,Bachelor’s degree,Student,1-3 years,0,0,0.0,0
119,798,35-39,Man,Colombia,Master’s degree,Data Engineer,10-20 years,$100-$999,"30,000-39,999",35000.0,500
120,131,18-21,Man,Other,Some college/university study without earning a bachelor’s degree,Data Engineer,3-5 years,0,0,0.0,0
121,735,70+,Man,United States of America,Master’s degree,Other,3-5 years,$1-$99,"250,000-299,999",275000.0,50
122,654,40-44,Man,India,Master’s degree,Program/Project Manager,10-20 years,"$10,000-$99,999","60,000-69,999",65000.0,50000
123,2770,30-34,Man,Poland,Master’s degree,Data Scientist,20+ years,$100-$999,"30,000-39,999",35000.0,500
124,1533,60-69,Man,India,Master’s degree,Other,1-3 years,$1-$99,$0-999,500.0,50
125,2885,25-29,Man,Egypt,Bachelor’s degree,Student,1-3 years,0,0,0.0,0
126,1730,40-44,Man,France,Doctoral degree,Research Scientist,5-10 years,$0 ($USD),"40,000-49,999",45000.0,0
127,379,40-44,Woman,Other,Doctoral degree,Data Scientist,5-10 years,"$1000-$9,999","100,000-124,999",120000.0,5000
128,763,22-24,Man,Other,Some college/university study without earning a bachelor’s degree,Software Engineer,< 1 years,$0 ($USD),$0-999,500.0,0
129,694,30-34,Man,Sweden,Doctoral degree,Research Scientist,5-10 years,$1-$99,"50,000-59,999",55000.0,50
130,776,45-49,Man,Chile,Master’s degree,Data Scientist,3-5 years,"$100,000 or more ($USD)","40,000-49,999",45000.0,100000
131,737,18-21,Man,Egypt,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,1-3 years,$1-$99,"4,000-4,999",4500.0,50
132,514,25-29,Man,Netherlands,Master’s degree,Currently not employed,5-10 years,0,0,0.0,0
133,647,35-39,Man,Ukraine,Doctoral degree,Currently not employed,< 1 years,0,0,0.0,0
134,386,25-29,Man,Other,Master’s degree,Software Engineer,10-20 years,"$1000-$9,999","40,000-49,999",45000.0,5000
135,2048,30-34,Woman,Indonesia,Master’s degree,Data Engineer,5-10 years,$100-$999,"25,000-29,999",27000.0,500
136,43508,18-21,Woman,Turkey,Master’s degree,Student,1-3 years,0,0,0.0,0
137,401,18-21,Man,India,Bachelor’s degree,Student,1-3 years,0,0,0.0,0
138,682,25-29,Woman,India,Bachelor’s degree,Data Engineer,1-3 years,$0 ($USD),$0-999,500.0,0
139,753,40-44,Man,Saudi Arabia,Bachelor’s degree,Machine Learning Engineer,10-20 years,$100-$999,"10,000-14,999",12000.0,500
140,352,18-21,Man,Russia,Some college/university study without earning a bachelor’s degree,Student,3-5 years,0,0,0.0,0
141,566,25-29,Man,India,Master’s degree,Data Scientist,< 1 years,$0 ($USD),$0-999,500.0,0
142,1813,30-34,Man,Colombia,I prefer not to answer,Data Analyst,< 1 years,$0 ($USD),$0-999,500.0,0
143,435,25-29,Man,Pakistan,Some college/university study without earning a bachelor’s degree,Student,< 1 years,0,0,0.0,0
144,986,35-39,Man,South Africa,Master’s degree,Data Engineer,10-20 years,0,0,0.0,0
145,366,18-21,Man,India,Bachelor’s degree,Student,< 1 years,0,0,0.0,0
146,776,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Engineer,10-20 years,$100-$999,"80,000-89,999",85000.0,500
147,340,22-24,Man,United States of America,Master’s degree,Student,5-10 years,0,0,0.0,0
148,339,30-34,Woman,Russia,Bachelor’s degree,Student,< 1 years,0,0,0.0,0
149,436,25-29,Man,Other,Bachelor’s degree,Student,< 1 years,0,0,0.0,0
150,744,70+,Woman,United States of America,Master’s degree,Data Analyst,20+ years,"$10,000-$99,999","100,000-124,999",120000.0,50000
151,895,22-24,Woman,India,I prefer not to answer,Student,5-10 years,0,0,0.0,0
152,79172,18-21,Man,Romania,Bachelor’s degree,Student,3-5 years,0,0,0.0,0
153,502,22-24,Man,India,Bachelor’s degree,Data Scientist,3-5 years,"$1000-$9,999",$0-999,500.0,5000
154,267,18-21,Woman,Egypt,Bachelor’s degree,Student,< 1 years,0,0,0.0,0
155,516,30-34,Man,South Africa,Bachelor’s degree,Product Manager,10-20 years,$100-$999,"90,000-99,999",95000.0,500
156,427,22-24,Woman,India,Bachelor’s degree,Student,3-5 years,0,0,0.0,0
157,985,22-24,Man,India,Bachelor’s degree,Data Engineer,5-10 years,$0 ($USD),"5,000-7,499",65000.0,0
158,610,30-34,Man,Singapore,Master’s degree,Data Scientist,5-10 years,"$100,000 or more ($USD)","125,000-149,999",132000.0,100000
159,304,22-24,Woman,India,Master’s degree,Student,3-5 years,0,0,0.0,0
160,12878,50-54,Man,Other,Master’s degree,Data Scientist,20+ years,0,0,0.0,0
161,526,60-69,Man,Argentina,Doctoral degree,Data Scientist,20+ years,$100-$999,$0-999,500.0,500
162,1068,30-34,Man,Spain,Some college/university study without earning a bachelor’s degree,Software Engineer,< 1 years,$0 ($USD),"25,000-29,999",27000.0,0
163,404,22-24,Woman,Morocco,Master’s degree,Machine Learning Engineer,1-3 years,$0 ($USD),$0-999,500.0,0
164,280,50-54,Man,Other,Bachelor’s degree,Software Engineer,10-20 years,$0 ($USD),"100,000-124,999",120000.0,0
165,904,25-29,Man,Nigeria,Some college/university study without earning a bachelor’s degree,Program/Project Manager,3-5 years,$1-$99,$0-999,500.0,50
166,1565,22-24,Man,United States of America,Bachelor’s degree,Currently not employed,1-3 years,0,0,0.0,0
167,3089,45-49,Man,Austria,Master’s degree,Business Analyst,5-10 years,$1-$99,"125,000-149,999",132000.0,50
168,447,22-24,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Student,1-3 years,0,0,0.0,0
169,460,35-39,Man,Singapore,Master’s degree,Data Scientist,5-10 years,"$100,000 or more ($USD)","100,000-124,999",120000.0,100000
170,1846,60-69,Man,United States of America,Master’s degree,Product Manager,20+ years,"$1000-$9,999","80,000-89,999",85000.0,5000
171,980,22-24,Man,India,Bachelor’s degree,Software Engineer,1-3 years,"$1000-$9,999",$0-999,500.0,5000
172,660,30-34,Man,India,Bachelor’s degree,Software Engineer,5-10 years,$1-$99,"10,000-14,999",12000.0,50
173,937,40-44,Man,Turkey,I prefer not to answer,Other,1-3 years,$0 ($USD),"7,500-9,999",8500.0,0
174,476,18-21,Man,India,Bachelor’s degree,Software Engineer,1-3 years,$1-$99,$0-999,500.0,50
175,553,40-44,Woman,Bangladesh,Master’s degree,Currently not employed,5-10 years,0,0,0.0,0
176,412,30-34,Man,Turkey,Doctoral degree,Statistician,1-3 years,$0 ($USD),$0-999,500.0,0
177,324,35-39,Man,Japan,Bachelor’s degree,Other,10-20 years,0,0,0.0,0
178,1894,22-24,Woman,Taiwan,Master’s degree,Currently not employed,1-3 years,0,0,0.0,0
179,1762,25-29,Man,India,Master’s degree,Currently not employed,1-3 years,0,0,0.0,0
180,866,22-24,Man,Kenya,Bachelor’s degree,Program/Project Manager,5-10 years,"$10,000-$99,999","10,000-14,999",12000.0,50000
181,24380,18-21,Man,India,Bachelor’s degree,Student,1-3 years,0,0,0.0,0
182,738,22-24,Woman,Tunisia,Master’s degree,Student,< 1 years,0,0,0.0,0
183,2032,35-39,Man,Brazil,Doctoral degree,Research Scientist,1-3 years,"$10,000-$99,999","25,000-29,999",27000.0,50000
184,2084,30-34,Man,United States of America,Master’s degree,Data Scientist,10-20 years,"$10,000-$99,999","250,000-299,999",275000.0,50000
185,698,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,3-5 years,"$100,000 or more ($USD)","5,000-7,499",65000.0,100000
186,574,35-39,Man,Egypt,Bachelor’s degree,Other,5-10 years,$0 ($USD),"25,000-29,999",27000.0,0
187,778,60-69,Man,Canada,Master’s degree,Program/Project Manager,3-5 years,"$1000-$9,999",$0-999,500.0,5000
188,493,30-34,Man,India,Bachelor’s degree,Other,5-10 years,"$1000-$9,999","30,000-39,999",35000.0,5000
189,337,30-34,Man,United States of America,Master’s degree,Business Analyst,I have never written code,"$10,000-$99,999","100,000-124,999",120000.0,50000
190,406,40-44,Man,Japan,Bachelor’s degree,Business Analyst,I have never written code,"$100,000 or more ($USD)","70,000-79,999",75000.0,100000
191,1677,55-59,Man,United States of America,Master’s degree,Data Scientist,20+ years,"$100,000 or more ($USD)","200,000-249,999",225000.0,100000
192,348,18-21,Man,India,Bachelor’s degree,Student,1-3 years,0,0,0.0,0
193,536,30-34,Woman,Sweden,Doctoral degree,Data Scientist,5-10 years,$0 ($USD),"60,000-69,999",65000.0,0
194,186,40-44,Man,Australia,Master’s degree,Software Engineer,20+ years,0,0,0.0,0
195,354,35-39,Man,Nigeria,Bachelor’s degree,Research Scientist,1-3 years,0,0,0.0,0
196,375,22-24,Woman,Turkey,Bachelor’s degree,Data Scientist,1-3 years,$0 ($USD),$0-999,500.0,0
197,677,40-44,Man,Russia,Bachelor’s degree,Business Analyst,1-3 years,"$1000-$9,999","25,000-29,999",27000.0,5000
198,456,25-29,Man,Other,Bachelor’s degree,Data Engineer,1-3 years,$100-$999,"20,000-24,999",23000.0,500
199,916,25-29,Man,Egypt,Doctoral degree,Research Scientist,3-5 years,"$1000-$9,999","4,000-4,999",4500.0,5000
200,571,30-34,Man,Russia,Bachelor’s degree,Software Engineer,5-10 years,$0 ($USD),"15,000-19,999",17000.0,0
201,720,30-34,Man,India,Master’s degree,Data Scientist,10-20 years,"$1000-$9,999","60,000-69,999",65000.0,5000
202,539,22-24,Man,India,Bachelor’s degree,Student,1-3 years,0,0,0.0,0
203,1346,30-34,Man,United States of America,Some college/university study without earning a bachelor’s degree,Other,< 1 years,$0 ($USD),"40,000-49,999",45000.0,0
204,338,22-24,Man,India,Master’s degree,Software Engineer,5-10 years,0,0,0.0,0
205,307,30-34,Man,United States of America,Master’s degree,Data Scientist,1-3 years,0,0,0.0,0
206,288,18-21,Man,Belarus,No formal education past high school,Student,< 1 years,0,0,0.0,0
207,501,22-24,Man,France,Master’s degree,Data Scientist,3-5 years,"$10,000-$99,999","10,000-14,999",12000.0,50000
208,2331,18-21,Man,India,Bachelor’s degree,Student,1-3 years,0,0,0.0,0
209,3237,45-49,Man,South Africa,Bachelor’s degree,Currently not employed,3-5 years,0,0,0.0,0
210,531,35-39,Man,Egypt,Master’s degree,Student,10-20 years,0,0,0.0,0
211,586,30-34,Nonbinary,Mexico,Doctoral degree,Student,5-10 years,0,0,0.0,0
212,12370,55-59,Man,Brazil,Some college/university study without earning a bachelor’s degree,Other,20+ years,$0 ($USD),"1,000-1,999",1500.0,0
213,1233,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,0,0,0.0,0
214,697,18-21,Man,India,Bachelor’s degree,Student,1-3 years,0,0,0.0,0
215,578,35-39,Woman,Ireland,Doctoral degree,Statistician,10-20 years,"$1000-$9,999","60,000-69,999",65000.0,5000
216,572,30-34,Man,Colombia,Master’s degree,Machine Learning Engineer,3-5 years,"$1000-$9,999","1,000-1,999",1500.0,5000
217,224,18-21,Prefer not to say,India,Bachelor’s degree,Student,1-3 years,0,0,0.0,0
218,646,30-34,Man,India,Doctoral degree,Machine Learning Engineer,5-10 years,"$100,000 or more ($USD)","30,000-39,999",35000.0,100000
219,794,18-21,Woman,India,Master’s degree,Student,1-3 years,0,0,0.0,0
220,815,30-34,Man,India,Bachelor’s degree,Data Analyst,1-3 years,"$1000-$9,999","10,000-14,999",12000.0,5000
221,591,60-69,Man,United States of America,Master’s degree,Student,10-20 years,0,0,0.0,0
222,699,35-39,Man,Argentina,Master’s degree,Program/Project Manager,5-10 years,$100-$999,"20,000-24,999",23000.0,500
223,1124,70+,Man,Australia,Master’s degree,Other,20+ years,$100-$999,"5,000-7,499",65000.0,500
224,520,18-21,Man,Australia,Bachelor’s degree,Data Scientist,< 1 years,$0 ($USD),$0-999,500.0,0
225,504,45-49,Man,Portugal,No formal education past high school,Other,< 1 years,$0 ($USD),"10,000-14,999",12000.0,0
226,669,18-21,Man,Other,Master’s degree,Software Engineer,3-5 years,$1-$99,"3,000-3,999",3500.0,50
227,3042,25-29,Woman,Hong Kong (S.A.R.),Doctoral degree,Data Scientist,5-10 years,$100-$999,"7,500-9,999",8500.0,500
228,982,25-29,Man,Japan,No formal education past high school,Machine Learning Engineer,5-10 years,"$1000-$9,999","60,000-69,999",65000.0,5000
229,613,25-29,Man,India,Bachelor’s degree,Data Scientist,< 1 years,$1-$99,"10,000-14,999",12000.0,50
230,798,22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years,$0 ($USD),"4,000-4,999",4500.0,0
231,875,22-24,Man,China,Master’s degree,Data Scientist,1-3 years,$0 ($USD),$0-999,500.0,0
232,307,55-59,Woman,Israel,Master’s degree,Currently not employed,5-10 years,0,0,0.0,0
233,4131,25-29,Man,Nigeria,Master’s degree,Research Scientist,3-5 years,$100-$999,$0-999,500.0,500
234,601,50-54,Man,Austria,No formal education past high school,Software Engineer,20+ years,"$1000-$9,999","70,000-79,999",75000.0,5000
235,1341,22-24,Man,India,Bachelor’s degree,Student,< 1 years,0,0,0.0,0
236,612,18-21,Woman,India,Bachelor’s degree,Student,1-3 years,0,0,0.0,0
237,275,45-49,Man,Sweden,Master’s degree,Software Engineer,20+ years,0,0,0.0,0
238,1128,25-29,Man,United States of America,Bachelor’s degree,Student,1-3 years,0,0,0.0,0
239,961,50-54,Man,Japan,Master’s degree,Software Engineer,20+ years,"$10,000-$99,999","125,000-149,999",132000.0,50000
240,290,30-34,Man,United States of America,Master’s degree,Student,1-3 years,0,0,0.0,0
241,627,30-34,Woman,India,Master’s degree,Currently not employed,< 1 years,0,0,0.0,0
242,1348,40-44,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,"$10,000-$99,999","2,000-2,999",25000.0,50000
243,780,18-21,Man,Mexico,Bachelor’s degree,Student,1-3 years,0,0,0.0,0
244,9291,35-39,Man,France,Master’s degree,Data Scientist,< 1 years,$0 ($USD),"60,000-69,999",65000.0,0
245,3874,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,0,0,0.0,0
246,1921,25-29,Man,Spain,Master’s degree,Machine Learning Engineer,5-10 years,"$1000-$9,999","30,000-39,999",35000.0,5000
247,497,22-24,Man,Ukraine,Doctoral degree,Data Analyst,3-5 years,$0 ($USD),$0-999,500.0,0
248,1181,25-29,Man,India,Bachelor’s degree,Research Scientist,< 1 years,$0 ($USD),$0-999,500.0,0
249,688,35-39,Woman,India,Master’s degree,Currently not employed,5-10 years,0,0,0.0,0
250,449,30-34,Woman,Brazil,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years,0,0,0.0,0
251,320,22-24,Man,United States of America,Master’s degree,Other,3-5 years,$0 ($USD),"70,000-79,999",75000.0,0
252,767,35-39,Woman,India,Doctoral degree,Research Scientist,1-3 years,$1-$99,"1,000-1,999",1500.0,50
