Response Time,Age,Gender,Country,Education,Job Title
229993,25-29,Man,Brazil,Master’s degree,Data Scientist
312,25-29,Man,Italy,Master’s degree,Other
976,55-59,Man,United States of America,Master’s degree,Software Engineer
1890,30-34,Woman,Viet Nam,Master’s degree,Machine Learning Engineer
357,18-21,Man,United States of America,Some college/university study without earning a bachelor’s degree,Student
660,40-44,Man,Israel,Master’s degree,Data Scientist
1524,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst
453,18-21,Woman,Egypt,Bachelor’s degree,Student
793,25-29,Man,India,Bachelor’s degree,Machine Learning Engineer
557,30-34,Woman,United States of America,Master’s degree,Data Scientist
5215,25-29,Man,Peru,Some college/university study without earning a bachelor’s degree,Currently not employed
483,40-44,Man,United States of America,Bachelor’s degree,Research Scientist
866,40-44,Man,South Africa,Master’s degree,Data Analyst
1045,40-44,Man,Other,Master’s degree,Business Analyst
359,30-34,Man,Spain,Master’s degree,Currently not employed
1006,22-24,Woman,Bangladesh,Bachelor’s degree,Software Engineer
95756,30-34,Woman,Indonesia,Master’s degree,Student
642,35-39,Woman,Russia,I prefer not to answer,Data Scientist
528,18-21,Man,India,Bachelor’s degree,Machine Learning Engineer
1093,35-39,Man,India,Bachelor’s degree,Program/Project Manager
565,18-21,Man,Japan,Some college/university study without earning a bachelor’s degree,Student
405,18-21,Man,Russia,Bachelor’s degree,Machine Learning Engineer
872,30-34,Man,Japan,Master’s degree,Data Scientist
434,18-21,Man,India,Bachelor’s degree,Student
419,18-21,Man,India,Bachelor’s degree,Student
1479,40-44,Man,Russia,Doctoral degree,Data Engineer
665,30-34,Prefer not to say,China,I prefer not to answer,Data Analyst
1073,30-34,Man,Other,Master’s degree,Business Analyst
626,35-39,Man,India,Bachelor’s degree,Other
743,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Other
854,25-29,Man,India,Bachelor’s degree,Currently not employed
767,22-24,Man,Mexico,Some college/university study without earning a bachelor’s degree,Other
4971,30-34,Woman,"Iran, Islamic Republic of...",Master’s degree,Software Engineer
560,45-49,Man,Turkey,Master’s degree,Program/Project Manager
2399,22-24,Man,Brazil,Master’s degree,Student
786,40-44,Man,France,Doctoral degree,Research Scientist
1293,50-54,Man,United States of America,Master’s degree,Data Engineer
395,22-24,Man,China,Master’s degree,Business Analyst
555,25-29,Man,Switzerland,Doctoral degree,Student
77678,22-24,Man,India,Bachelor’s degree,Currently not employed
1643,35-39,Man,United States of America,Professional doctorate,Research Scientist
3454,30-34,Man,Other,Master’s degree,Software Engineer
986,30-34,Man,India,Master’s degree,Business Analyst
1062,18-21,Man,India,Master’s degree,Student
161,25-29,Man,Algeria,Professional doctorate,Student
648,22-24,Man,Bangladesh,Bachelor’s degree,Student
432,25-29,Man,Tunisia,Master’s degree,Data Scientist
508,25-29,Man,United States of America,Master’s degree,Data Scientist
463,25-29,Woman,Italy,Bachelor’s degree,Student
642,55-59,Man,United States of America,Bachelor’s degree,Software Engineer
50748,25-29,Woman,Argentina,Master’s degree,Data Scientist
674,30-34,Man,United States of America,Master’s degree,Business Analyst
548,22-24,Man,Sweden,Master’s degree,Student
750,55-59,Man,United States of America,Bachelor’s degree,Other
532,18-21,Man,India,Bachelor’s degree,Data Scientist
1423,30-34,Man,Colombia,Bachelor’s degree,Student
661,25-29,Man,India,Master’s degree,Machine Learning Engineer
638,40-44,Man,Italy,Master’s degree,Software Engineer
585,22-24,Man,India,Bachelor’s degree,Currently not employed
370,22-24,Man,India,Master’s degree,Student
174,18-21,Woman,Singapore,Some college/university study without earning a bachelor’s degree,Student
294,25-29,Man,India,Master’s degree,Software Engineer
681,22-24,Man,India,Bachelor’s degree,Data Analyst
444,25-29,Man,I do not wish to disclose my location,Bachelor’s degree,Data Scientist
543,40-44,Woman,United States of America,Master’s degree,Other
824,35-39,Man,France,Doctoral degree,Software Engineer
3455,30-34,Man,India,Master’s degree,Data Analyst
728,55-59,Man,United States of America,Master’s degree,Data Scientist
3097,40-44,Man,Israel,Bachelor’s degree,Data Analyst
531,22-24,Man,India,Bachelor’s degree,Data Analyst
699,18-21,Man,Nigeria,Bachelor’s degree,Student
378,22-24,Woman,Sweden,Master’s degree,Student
2932,45-49,Man,Poland,Master’s degree,Other
584,30-34,Woman,Canada,I prefer not to answer,Currently not employed
205,18-21,Man,Other,Bachelor’s degree,Other
1050,60-69,Man,India,Doctoral degree,Program/Project Manager
61432,25-29,Man,Bangladesh,Bachelor’s degree,Other
445,40-44,Man,Indonesia,Master’s degree,Currently not employed
918,18-21,Woman,India,Bachelor’s degree,Student
798,35-39,Man,Colombia,Master’s degree,Data Engineer
131,18-21,Man,Other,Some college/university study without earning a bachelor’s degree,Data Engineer
735,70+,Man,United States of America,Master’s degree,Other
654,40-44,Man,India,Master’s degree,Program/Project Manager
2770,30-34,Man,Poland,Master’s degree,Data Scientist
1533,60-69,Man,India,Master’s degree,Other
2885,25-29,Man,Egypt,Bachelor’s degree,Student
1730,40-44,Man,France,Doctoral degree,Research Scientist
379,40-44,Woman,Other,Doctoral degree,Data Scientist
763,22-24,Man,Other,Some college/university study without earning a bachelor’s degree,Software Engineer
694,30-34,Man,Sweden,Doctoral degree,Research Scientist
776,45-49,Man,Chile,Master’s degree,Data Scientist
737,18-21,Man,Egypt,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer
514,25-29,Man,Netherlands,Master’s degree,Currently not employed
647,35-39,Man,Ukraine,Doctoral degree,Currently not employed
386,25-29,Man,Other,Master’s degree,Software Engineer
2048,30-34,Woman,Indonesia,Master’s degree,Data Engineer
43508,18-21,Woman,Turkey,Master’s degree,Student
401,18-21,Man,India,Bachelor’s degree,Student
682,25-29,Woman,India,Bachelor’s degree,Data Engineer
753,40-44,Man,Saudi Arabia,Bachelor’s degree,Machine Learning Engineer
352,18-21,Man,Russia,Some college/university study without earning a bachelor’s degree,Student
566,25-29,Man,India,Master’s degree,Data Scientist
1813,30-34,Man,Colombia,I prefer not to answer,Data Analyst
435,25-29,Man,Pakistan,Some college/university study without earning a bachelor’s degree,Student
986,35-39,Man,South Africa,Master’s degree,Data Engineer
366,18-21,Man,India,Bachelor’s degree,Student
776,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Engineer
340,22-24,Man,United States of America,Master’s degree,Student
339,30-34,Woman,Russia,Bachelor’s degree,Student
436,25-29,Man,Other,Bachelor’s degree,Student
744,70+,Woman,United States of America,Master’s degree,Data Analyst
895,22-24,Woman,India,I prefer not to answer,Student
79172,18-21,Man,Romania,Bachelor’s degree,Student
502,22-24,Man,India,Bachelor’s degree,Data Scientist
267,18-21,Woman,Egypt,Bachelor’s degree,Student
516,30-34,Man,South Africa,Bachelor’s degree,Product Manager
427,22-24,Woman,India,Bachelor’s degree,Student
985,22-24,Man,India,Bachelor’s degree,Data Engineer
610,30-34,Man,Singapore,Master’s degree,Data Scientist
304,22-24,Woman,India,Master’s degree,Student
12878,50-54,Man,Other,Master’s degree,Data Scientist
526,60-69,Man,Argentina,Doctoral degree,Data Scientist
1068,30-34,Man,Spain,Some college/university study without earning a bachelor’s degree,Software Engineer
404,22-24,Woman,Morocco,Master’s degree,Machine Learning Engineer
280,50-54,Man,Other,Bachelor’s degree,Software Engineer
904,25-29,Man,Nigeria,Some college/university study without earning a bachelor’s degree,Program/Project Manager
1565,22-24,Man,United States of America,Bachelor’s degree,Currently not employed
3089,45-49,Man,Austria,Master’s degree,Business Analyst
447,22-24,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Student
460,35-39,Man,Singapore,Master’s degree,Data Scientist
1846,60-69,Man,United States of America,Master’s degree,Product Manager
980,22-24,Man,India,Bachelor’s degree,Software Engineer
660,30-34,Man,India,Bachelor’s degree,Software Engineer
937,40-44,Man,Turkey,I prefer not to answer,Other
476,18-21,Man,India,Bachelor’s degree,Software Engineer
553,40-44,Woman,Bangladesh,Master’s degree,Currently not employed
412,30-34,Man,Turkey,Doctoral degree,Statistician
324,35-39,Man,Japan,Bachelor’s degree,Other
1894,22-24,Woman,Taiwan,Master’s degree,Currently not employed
1762,25-29,Man,India,Master’s degree,Currently not employed
866,22-24,Man,Kenya,Bachelor’s degree,Program/Project Manager
24380,18-21,Man,India,Bachelor’s degree,Student
738,22-24,Woman,Tunisia,Master’s degree,Student
2032,35-39,Man,Brazil,Doctoral degree,Research Scientist
2084,30-34,Man,United States of America,Master’s degree,Data Scientist
698,18-21,Man,Brazil,Bachelor’s degree,Data Analyst
574,35-39,Man,Egypt,Bachelor’s degree,Other
778,60-69,Man,Canada,Master’s degree,Program/Project Manager
493,30-34,Man,India,Bachelor’s degree,Other
337,30-34,Man,United States of America,Master’s degree,Business Analyst
406,40-44,Man,Japan,Bachelor’s degree,Business Analyst
1677,55-59,Man,United States of America,Master’s degree,Data Scientist
348,18-21,Man,India,Bachelor’s degree,Student
536,30-34,Woman,Sweden,Doctoral degree,Data Scientist
186,40-44,Man,Australia,Master’s degree,Software Engineer
354,35-39,Man,Nigeria,Bachelor’s degree,Research Scientist
375,22-24,Woman,Turkey,Bachelor’s degree,Data Scientist
677,40-44,Man,Russia,Bachelor’s degree,Business Analyst
456,25-29,Man,Other,Bachelor’s degree,Data Engineer
916,25-29,Man,Egypt,Doctoral degree,Research Scientist
571,30-34,Man,Russia,Bachelor’s degree,Software Engineer
720,30-34,Man,India,Master’s degree,Data Scientist
539,22-24,Man,India,Bachelor’s degree,Student
1346,30-34,Man,United States of America,Some college/university study without earning a bachelor’s degree,Other
338,22-24,Man,India,Master’s degree,Software Engineer
307,30-34,Man,United States of America,Master’s degree,Data Scientist
288,18-21,Man,Belarus,No formal education past high school,Student
501,22-24,Man,France,Master’s degree,Data Scientist
2331,18-21,Man,India,Bachelor’s degree,Student
3237,45-49,Man,South Africa,Bachelor’s degree,Currently not employed
531,35-39,Man,Egypt,Master’s degree,Student
586,30-34,Nonbinary,Mexico,Doctoral degree,Student
12370,55-59,Man,Brazil,Some college/university study without earning a bachelor’s degree,Other
1233,18-21,Woman,India,Bachelor’s degree,Student
697,18-21,Man,India,Bachelor’s degree,Student
578,35-39,Woman,Ireland,Doctoral degree,Statistician
572,30-34,Man,Colombia,Master’s degree,Machine Learning Engineer
224,18-21,Prefer not to say,India,Bachelor’s degree,Student
646,30-34,Man,India,Doctoral degree,Machine Learning Engineer
794,18-21,Woman,India,Master’s degree,Student
815,30-34,Man,India,Bachelor’s degree,Data Analyst
591,60-69,Man,United States of America,Master’s degree,Student
699,35-39,Man,Argentina,Master’s degree,Program/Project Manager
1124,70+,Man,Australia,Master’s degree,Other
520,18-21,Man,Australia,Bachelor’s degree,Data Scientist
504,45-49,Man,Portugal,No formal education past high school,Other
669,18-21,Man,Other,Master’s degree,Software Engineer
3042,25-29,Woman,Hong Kong (S.A.R.),Doctoral degree,Data Scientist
982,25-29,Man,Japan,No formal education past high school,Machine Learning Engineer
613,25-29,Man,India,Bachelor’s degree,Data Scientist
798,22-24,Man,India,Bachelor’s degree,Data Scientist
875,22-24,Man,China,Master’s degree,Data Scientist
307,55-59,Woman,Israel,Master’s degree,Currently not employed
4131,25-29,Man,Nigeria,Master’s degree,Research Scientist
601,50-54,Man,Austria,No formal education past high school,Software Engineer
1341,22-24,Man,India,Bachelor’s degree,Student
612,18-21,Woman,India,Bachelor’s degree,Student
275,45-49,Man,Sweden,Master’s degree,Software Engineer
1128,25-29,Man,United States of America,Bachelor’s degree,Student
961,50-54,Man,Japan,Master’s degree,Software Engineer
290,30-34,Man,United States of America,Master’s degree,Student
627,30-34,Woman,India,Master’s degree,Currently not employed
1348,40-44,Man,India,Bachelor’s degree,Machine Learning Engineer
780,18-21,Man,Mexico,Bachelor’s degree,Student
9291,35-39,Man,France,Master’s degree,Data Scientist
3874,18-21,Woman,India,Bachelor’s degree,Student
1921,25-29,Man,Spain,Master’s degree,Machine Learning Engineer
497,22-24,Man,Ukraine,Doctoral degree,Data Analyst
1181,25-29,Man,India,Bachelor’s degree,Research Scientist
688,35-39,Woman,India,Master’s degree,Currently not employed
449,30-34,Woman,Brazil,Some college/university study without earning a bachelor’s degree,Currently not employed
320,22-24,Man,United States of America,Master’s degree,Other
767,35-39,Woman,India,Doctoral degree,Research Scientist
667,55-59,Woman,Brazil,Master’s degree,Business Analyst
170,40-44,Man,United States of America,Master’s degree,Software Engineer
991,30-34,Man,India,Bachelor’s degree,Machine Learning Engineer
1846,22-24,Man,India,Master’s degree,Student
732,25-29,Woman,Pakistan,Master’s degree,Data Analyst
566,60-69,Man,United States of America,Master’s degree,Software Engineer
1075,50-54,Man,United States of America,Master’s degree,Currently not employed
442,35-39,Man,Indonesia,No formal education past high school,Data Scientist
1469,30-34,Man,China,Master’s degree,Machine Learning Engineer
526,30-34,Man,Denmark,Doctoral degree,Data Scientist
824,25-29,Woman,India,Bachelor’s degree,Data Analyst
922,35-39,Man,Australia,Master’s degree,Currently not employed
378,35-39,Woman,Other,Master’s degree,Data Analyst
1945,45-49,Prefer not to say,Brazil,Bachelor’s degree,Research Scientist
578,18-21,Man,India,Master’s degree,Student
237,22-24,Man,Other,Bachelor’s degree,Currently not employed
756,25-29,Woman,Pakistan,Doctoral degree,Data Analyst
599,25-29,Woman,India,Master’s degree,Data Analyst
480,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student
264,25-29,Man,Nigeria,Some college/university study without earning a bachelor’s degree,Currently not employed
4088,45-49,Man,Germany,Master’s degree,Program/Project Manager
1066,25-29,Man,Kenya,Bachelor’s degree,Software Engineer
509,22-24,Man,South Korea,Bachelor’s degree,Other
187,22-24,Man,India,Master’s degree,Currently not employed
372,22-24,Man,Bangladesh,Bachelor’s degree,Student
356,25-29,Woman,Philippines,Bachelor’s degree,Currently not employed
445,22-24,Man,India,Master’s degree,Student
841,35-39,Man,Turkey,Master’s degree,Software Engineer
569,18-21,Woman,India,Master’s degree,Student
984,40-44,Man,Canada,Master’s degree,Data Analyst
85290,50-54,Man,United States of America,Bachelor’s degree,Software Engineer
3143,30-34,Man,Nigeria,Master’s degree,Data Analyst
1159,45-49,Woman,Singapore,Master’s degree,Research Scientist
5097,22-24,Man,United States of America,Master’s degree,Student
501,35-39,Woman,United States of America,Master’s degree,Data Scientist
622,25-29,Man,India,Master’s degree,Student
785,35-39,Man,Russia,Bachelor’s degree,Other
489,22-24,Woman,India,Master’s degree,Research Scientist
1984,18-21,Woman,Indonesia,Bachelor’s degree,Student
1112,22-24,Man,India,Bachelor’s degree,Business Analyst
904,18-21,Man,India,Bachelor’s degree,Student
2403,22-24,Man,China,Doctoral degree,Program/Project Manager
29434,45-49,Man,Other,Master’s degree,Business Analyst
489,30-34,Woman,United States of America,Master’s degree,Data Engineer
843,50-54,Man,Russia,No formal education past high school,Currently not employed
42500,40-44,Man,Mexico,Master’s degree,Business Analyst
266,50-54,Man,United Kingdom of Great Britain and Northern Ireland,No formal education past high school,Developer Relations/Advocacy
1390,30-34,Woman,India,Master’s degree,Research Scientist
887,25-29,Prefer not to say,Germany,Doctoral degree,Research Scientist
662,22-24,Woman,Nigeria,Master’s degree,Student
559,25-29,Man,India,Bachelor’s degree,Software Engineer
774,25-29,Woman,Nigeria,Bachelor’s degree,Student
603,45-49,Man,India,Master’s degree,Statistician
550,30-34,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Machine Learning Engineer
3074,30-34,Nonbinary,Kenya,Bachelor’s degree,Machine Learning Engineer
161,25-29,Woman,Sri Lanka,Master’s degree,Student
828,35-39,Woman,Tunisia,Doctoral degree,Data Analyst
994,60-69,Man,Chile,Master’s degree,Other
545,22-24,Man,China,Bachelor’s degree,Data Analyst
544,18-21,Woman,Bangladesh,Bachelor’s degree,Machine Learning Engineer
358,60-69,Man,United States of America,Bachelor’s degree,Software Engineer
364,25-29,Man,India,Master’s degree,Data Scientist
771,40-44,Man,Other,Doctoral degree,Student
345,35-39,Woman,India,Master’s degree,Currently not employed
231,22-24,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Scientist
255,18-21,Man,Indonesia,Some college/university study without earning a bachelor’s degree,Student
6005,25-29,Woman,India,Master’s degree,Currently not employed
245,18-21,Man,India,Bachelor’s degree,Student
166328,25-29,Man,India,Master’s degree,Data Engineer
1072,40-44,Man,Japan,Master’s degree,Other
1272,35-39,Man,India,Bachelor’s degree,Currently not employed
434,40-44,Man,Japan,Bachelor’s degree,Data Scientist
4573,25-29,Man,France,Master’s degree,Data Scientist
584,30-34,Woman,United Arab Emirates,Master’s degree,Currently not employed
979,35-39,Man,Nigeria,Master’s degree,Software Engineer
166,22-24,Man,India,Bachelor’s degree,Other
673,35-39,Man,Sweden,Doctoral degree,Research Scientist
230,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Currently not employed
39789,25-29,Woman,United States of America,Master’s degree,Student
3588,40-44,Man,France,Doctoral degree,Data Scientist
784,22-24,Man,Uganda,Bachelor’s degree,Currently not employed
642,25-29,Man,India,Bachelor’s degree,Data Scientist
1028,35-39,Man,South Africa,Master’s degree,Data Scientist
1508,45-49,Man,Russia,Master’s degree,Product Manager
151,35-39,Man,Spain,Doctoral degree,Research Scientist
867,25-29,Man,Sri Lanka,Master’s degree,Data Scientist
451,40-44,Man,Saudi Arabia,Master’s degree,Other
429,25-29,Woman,Italy,Master’s degree,Data Analyst
1135,18-21,Man,Nigeria,Bachelor’s degree,Data Scientist
799,70+,Man,United States of America,Master’s degree,Currently not employed
454,50-54,Man,Portugal,Doctoral degree,Research Scientist
424,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student
1089,30-34,Man,India,Master’s degree,Data Scientist
749,55-59,Man,Netherlands,Doctoral degree,Data Scientist
496,35-39,Man,Brazil,Bachelor’s degree,Data Scientist
505,18-21,Woman,India,Bachelor’s degree,Student
5394,18-21,Man,Ireland,Some college/university study without earning a bachelor’s degree,Currently not employed
319,18-21,Man,India,Bachelor’s degree,Student
639,25-29,Man,India,Master’s degree,Data Scientist
405,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer
808,30-34,Man,India,Bachelor’s degree,Software Engineer
1011,30-34,Man,United States of America,Master’s degree,Data Scientist
780,30-34,Man,Ghana,Master’s degree,Software Engineer
642,40-44,Man,India,Master’s degree,Data Engineer
623,35-39,Man,India,Doctoral degree,Software Engineer
450,25-29,Man,India,Bachelor’s degree,Currently not employed
951,22-24,Man,Egypt,Master’s degree,Data Scientist
244,25-29,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Student
365,22-24,Man,Poland,Master’s degree,Business Analyst
589,55-59,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Currently not employed
502,35-39,Man,United States of America,Bachelor’s degree,Business Analyst
1276,18-21,Man,Viet Nam,Bachelor’s degree,Student
2017,25-29,Woman,Egypt,Bachelor’s degree,Other
700561,18-21,Woman,Other,Master’s degree,Student
415,25-29,Man,India,Bachelor’s degree,Other
2355,25-29,Man,Canada,Bachelor’s degree,Other
699,35-39,Man,Kenya,Bachelor’s degree,Currently not employed
1724,18-21,Man,India,Bachelor’s degree,DBA/Database Engineer
454,25-29,Man,Mexico,Master’s degree,Data Scientist
997,50-54,Man,South Korea,Master’s degree,Program/Project Manager
3411,35-39,Man,Nigeria,Bachelor’s degree,DBA/Database Engineer
569,45-49,Man,France,Master’s degree,Currently not employed
1254,25-29,Woman,India,Bachelor’s degree,Data Analyst
1507,60-69,Man,India,Master’s degree,Software Engineer
569,25-29,Man,Taiwan,Master’s degree,Currently not employed
1020,60-69,Man,India,Bachelor’s degree,Program/Project Manager
945,22-24,Man,Nigeria,Bachelor’s degree,Data Engineer
1028,25-29,Man,Malaysia,Doctoral degree,Data Scientist
585,22-24,Man,Taiwan,Master’s degree,Student
1489,25-29,Woman,Thailand,Bachelor’s degree,Other
392,18-21,Woman,Colombia,Some college/university study without earning a bachelor’s degree,Software Engineer
3301,35-39,Man,Other,Bachelor’s degree,Student
257,18-21,Man,India,Bachelor’s degree,Student
973,45-49,Man,Japan,Master’s degree,Other
458,25-29,Woman,Spain,Master’s degree,Software Engineer
353,18-21,Prefer not to say,India,Bachelor’s degree,Student
987,40-44,Man,Australia,Master’s degree,Data Engineer
1208,25-29,Man,Germany,Master’s degree,Student
482,50-54,Man,Israel,Master’s degree,Product Manager
788,25-29,Man,Brazil,Bachelor’s degree,Data Scientist
521,35-39,Man,United States of America,Master’s degree,Data Scientist
1114,50-54,Woman,United States of America,Professional doctorate,Data Scientist
1133,18-21,Man,Indonesia,Master’s degree,Research Scientist
856,50-54,Man,Spain,Bachelor’s degree,Data Analyst
974,50-54,Man,United States of America,Bachelor’s degree,Product Manager
358,18-21,Man,Singapore,Some college/university study without earning a bachelor’s degree,Student
602,35-39,Man,Greece,Doctoral degree,Data Scientist
610,18-21,Man,India,Bachelor’s degree,Student
1755,40-44,Man,Ukraine,Master’s degree,Software Engineer
733,22-24,Woman,Brazil,Master’s degree,Data Scientist
984,35-39,Woman,India,Doctoral degree,Research Scientist
1155,25-29,Woman,India,Master’s degree,Data Scientist
4082,25-29,Man,Colombia,Bachelor’s degree,Data Analyst
918,25-29,Man,Russia,Master’s degree,Data Scientist
779,18-21,Woman,United States of America,Master’s degree,Other
394,40-44,Man,Sweden,Master’s degree,Currently not employed
670,30-34,Man,South Korea,Bachelor’s degree,Student
2239,55-59,Woman,Turkey,Doctoral degree,Statistician
2377,25-29,Man,Tunisia,Bachelor’s degree,Currently not employed
572,22-24,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Engineer
913,22-24,Man,India,Bachelor’s degree,Business Analyst
764,25-29,Man,India,Bachelor’s degree,Data Scientist
601,45-49,Woman,United States of America,Professional doctorate,Student
663,30-34,Man,Russia,Bachelor’s degree,Software Engineer
659,30-34,Man,Pakistan,Bachelor’s degree,Currently not employed
1497,30-34,Man,Argentina,Bachelor’s degree,Student
3356,25-29,Man,Russia,Some college/university study without earning a bachelor’s degree,Product Manager
838,25-29,Woman,Turkey,Bachelor’s degree,Data Scientist
270,22-24,Man,India,Bachelor’s degree,Data Scientist
943,40-44,Prefer not to say,India,Bachelor’s degree,Software Engineer
1877,35-39,Man,United Arab Emirates,Bachelor’s degree,Data Engineer
914,25-29,Man,Other,Master’s degree,Data Scientist
1441,45-49,Man,Saudi Arabia,Bachelor’s degree,Other
310,18-21,Woman,India,Some college/university study without earning a bachelor’s degree,Student
1003,35-39,Woman,Egypt,Doctoral degree,Research Scientist
481,18-21,Man,Nigeria,Bachelor’s degree,Student
639,40-44,Man,Turkey,Master’s degree,Program/Project Manager
616,30-34,Woman,United States of America,Bachelor’s degree,Data Analyst
704,30-34,Woman,Italy,Bachelor’s degree,Business Analyst
899193,18-21,Man,Other,Some college/university study without earning a bachelor’s degree,Software Engineer
899,35-39,Man,Mexico,Master’s degree,Statistician
572,25-29,Man,India,Master’s degree,Data Scientist
330,22-24,Man,India,Bachelor’s degree,Student
1080,30-34,Man,Indonesia,Master’s degree,Data Analyst
8327,22-24,Man,India,Bachelor’s degree,Software Engineer
403,22-24,Man,Spain,Some college/university study without earning a bachelor’s degree,Other
448,22-24,Man,China,Master’s degree,Student
541,22-24,Man,Sri Lanka,Bachelor’s degree,Data Analyst
883,18-21,Man,India,Bachelor’s degree,Student
155,18-21,Man,Brazil,Bachelor’s degree,Data Scientist
995,18-21,Man,Indonesia,Bachelor’s degree,Machine Learning Engineer
772,30-34,Man,India,Doctoral degree,Research Scientist
448,25-29,Man,Indonesia,Doctoral degree,Statistician
2046,30-34,Man,United States of America,Bachelor’s degree,Program/Project Manager
642,22-24,Man,India,Master’s degree,Software Engineer
703,35-39,Woman,India,Master’s degree,Software Engineer
994,22-24,Prefer to self-describe,United States of America,Some college/university study without earning a bachelor’s degree,Student
316,18-21,Man,Nigeria,Bachelor’s degree,Currently not employed
1004,30-34,Man,Nigeria,Master’s degree,Data Scientist
1556,40-44,Man,India,Master’s degree,Data Scientist
447,30-34,Man,United States of America,Bachelor’s degree,Program/Project Manager
387,25-29,Man,United States of America,Master’s degree,Data Analyst
1230,22-24,Man,India,Master’s degree,Currently not employed
447,18-21,Man,Japan,Bachelor’s degree,Program/Project Manager
644,35-39,Man,United States of America,Master’s degree,Data Analyst
689,22-24,Man,India,Bachelor’s degree,Data Scientist
628,30-34,Man,Other,Professional doctorate,Research Scientist
439,22-24,Man,China,Master’s degree,Student
605,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst
208,18-21,Man,China,Master’s degree,Business Analyst
820,30-34,Man,India,Bachelor’s degree,Software Engineer
224,40-44,Man,Turkey,I prefer not to answer,Student
319,25-29,Man,Pakistan,Master’s degree,Student
1549,50-54,Man,Japan,I prefer not to answer,Other
658,25-29,Woman,India,Master’s degree,Data Analyst
395,25-29,Man,Austria,Master’s degree,Data Scientist
1459,25-29,Man,Nepal,Master’s degree,Software Engineer
1374,18-21,Man,Peru,Master’s degree,Student
11771,30-34,Man,Viet Nam,Bachelor’s degree,Software Engineer
774,45-49,Man,India,Professional doctorate,Data Scientist
584,35-39,Man,Turkey,Master’s degree,Other
22868,30-34,Man,United States of America,Doctoral degree,Student
323,45-49,Man,India,Doctoral degree,Other
414,18-21,Man,India,Bachelor’s degree,Machine Learning Engineer
1927,22-24,Woman,India,Bachelor’s degree,Data Analyst
293,35-39,Man,India,Bachelor’s degree,Currently not employed
