Response Time,Age,Gender,Country,Education,Job Title,Experience,Investment,Compensation
625,22-24,Man,Japan,No formal education past high school,Software Engineer,3-5 years,$0 ($USD),"2,000-2,999"
1239,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,
229993,25-29,Man,Brazil,Master’s degree,Data Scientist,5-10 years,,
312,25-29,Man,Italy,Master’s degree,Other,1-3 years,$1-$99,"30,000-39,999"
976,55-59,Man,United States of America,Master’s degree,Software Engineer,10-20 years,"$1000-$9,999","15,000-19,999"
1890,30-34,Woman,Viet Nam,Master’s degree,Machine Learning Engineer,1-3 years,"$1000-$9,999","4,000-4,999"
357,18-21,Man,United States of America,Some college/university study without earning a bachelor’s degree,Student,1-3 years,,
660,40-44,Man,Israel,Master’s degree,Data Scientist,3-5 years,"$10,000-$99,999","100,000-124,999"
1524,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,$0 ($USD),$0-999
453,18-21,Woman,Egypt,Bachelor’s degree,Student,1-3 years,,
793,25-29,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,$1-$99,"1,000-1,999"
557,30-34,Woman,United States of America,Master’s degree,Data Scientist,5-10 years,"$1000-$9,999","100,000-124,999"
5215,25-29,Man,Peru,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years,,
483,40-44,Man,United States of America,Bachelor’s degree,Research Scientist,< 1 years,$0 ($USD),"70,000-79,999"
866,40-44,Man,South Africa,Master’s degree,Data Analyst,1-3 years,$100-$999,"25,000-29,999"
1045,40-44,Man,Other,Master’s degree,Business Analyst,1-3 years,$1-$99,"60,000-69,999"
359,30-34,Man,Spain,Master’s degree,Currently not employed,1-3 years,,
1006,22-24,Woman,Bangladesh,Bachelor’s degree,Software Engineer,5-10 years,$0 ($USD),"7,500-9,999"
95756,30-34,Woman,Indonesia,Master’s degree,Student,1-3 years,,
642,35-39,Woman,Russia,I prefer not to answer,Data Scientist,1-3 years,$0 ($USD),$0-999
528,18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,1-3 years,$1-$99,$0-999
1093,35-39,Man,India,Bachelor’s degree,Program/Project Manager,1-3 years,$1-$99,"2,000-2,999"
565,18-21,Man,Japan,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,
405,18-21,Man,Russia,Bachelor’s degree,Machine Learning Engineer,3-5 years,$0 ($USD),$0-999
872,30-34,Man,Japan,Master’s degree,Data Scientist,1-3 years,$100-$999,"40,000-49,999"
434,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,
419,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,
1479,40-44,Man,Russia,Doctoral degree,Data Engineer,1-3 years,"$1000-$9,999",$0-999
665,30-34,Prefer not to say,China,I prefer not to answer,Data Analyst,< 1 years,$0 ($USD),$0-999
1073,30-34,Man,Other,Master’s degree,Business Analyst,1-3 years,$100-$999,"7,500-9,999"
626,35-39,Man,India,Bachelor’s degree,Other,< 1 years,"$1000-$9,999","2,000-2,999"
743,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Other,20+ years,"$100,000 or more ($USD)","50,000-59,999"
854,25-29,Man,India,Bachelor’s degree,Currently not employed,< 1 years,,
767,22-24,Man,Mexico,Some college/university study without earning a bachelor’s degree,Other,3-5 years,$1-$99,"5,000-7,499"
4971,30-34,Woman,"Iran, Islamic Republic of...",Master’s degree,Software Engineer,5-10 years,$0 ($USD),"3,000-3,999"
560,45-49,Man,Turkey,Master’s degree,Program/Project Manager,20+ years,$100-$999,"3,000-3,999"
2399,22-24,Man,Brazil,Master’s degree,Student,5-10 years,,
786,40-44,Man,France,Doctoral degree,Research Scientist,3-5 years,$0 ($USD),"3,000-3,999"
1293,50-54,Man,United States of America,Master’s degree,Data Engineer,20+ years,"$100,000 or more ($USD)","300,000-499,999"
395,22-24,Man,China,Master’s degree,Business Analyst,< 1 years,"$10,000-$99,999","20,000-24,999"
555,25-29,Man,Switzerland,Doctoral degree,Student,5-10 years,,
77678,22-24,Man,India,Bachelor’s degree,Currently not employed,1-3 years,,
1643,35-39,Man,United States of America,Professional doctorate,Research Scientist,10-20 years,"$10,000-$99,999","200,000-249,999"
3454,30-34,Man,Other,Master’s degree,Software Engineer,5-10 years,"$1000-$9,999","50,000-59,999"
986,30-34,Man,India,Master’s degree,Business Analyst,1-3 years,$0 ($USD),"20,000-24,999"
1062,18-21,Man,India,Master’s degree,Student,1-3 years,,
161,25-29,Man,Algeria,Professional doctorate,Student,I have never written code,,
648,22-24,Man,Bangladesh,Bachelor’s degree,Student,1-3 years,,
432,25-29,Man,Tunisia,Master’s degree,Data Scientist,5-10 years,"$1000-$9,999","20,000-24,999"
508,25-29,Man,United States of America,Master’s degree,Data Scientist,1-3 years,$0 ($USD),"70,000-79,999"
463,25-29,Woman,Italy,Bachelor’s degree,Student,1-3 years,,
642,55-59,Man,United States of America,Bachelor’s degree,Software Engineer,20+ years,"$10,000-$99,999","125,000-149,999"
50748,25-29,Woman,Argentina,Master’s degree,Data Scientist,< 1 years,$100-$999,"10,000-14,999"
674,30-34,Man,United States of America,Master’s degree,Business Analyst,1-3 years,"$1000-$9,999","60,000-69,999"
548,22-24,Man,Sweden,Master’s degree,Student,5-10 years,,
750,55-59,Man,United States of America,Bachelor’s degree,Other,1-3 years,$0 ($USD),"70,000-79,999"
532,18-21,Man,India,Bachelor’s degree,Data Scientist,< 1 years,$0 ($USD),$0-999
1423,30-34,Man,Colombia,Bachelor’s degree,Student,5-10 years,,
661,25-29,Man,India,Master’s degree,Machine Learning Engineer,1-3 years,$100-$999,"10,000-14,999"
638,40-44,Man,Italy,Master’s degree,Software Engineer,20+ years,$100-$999,"40,000-49,999"
585,22-24,Man,India,Bachelor’s degree,Currently not employed,< 1 years,,
370,22-24,Man,India,Master’s degree,Student,< 1 years,,
174,18-21,Woman,Singapore,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,
294,25-29,Man,India,Master’s degree,Software Engineer,1-3 years,$0 ($USD),"7,500-9,999"
681,22-24,Man,India,Bachelor’s degree,Data Analyst,< 1 years,$0 ($USD),"1,000-1,999"
444,25-29,Man,I do not wish to disclose my location,Bachelor’s degree,Data Scientist,1-3 years,$100-$999,"4,000-4,999"
543,40-44,Woman,United States of America,Master’s degree,Other,5-10 years,$100-$999,"25,000-29,999"
824,35-39,Man,France,Doctoral degree,Software Engineer,10-20 years,$0 ($USD),"25,000-29,999"
3455,30-34,Man,India,Master’s degree,Data Analyst,1-3 years,,
728,55-59,Man,United States of America,Master’s degree,Data Scientist,20+ years,"$1000-$9,999","100,000-124,999"
3097,40-44,Man,Israel,Bachelor’s degree,Data Analyst,< 1 years,$0 ($USD),"100,000-124,999"
531,22-24,Man,India,Bachelor’s degree,Data Analyst,1-3 years,$0 ($USD),"1,000-1,999"
699,18-21,Man,Nigeria,Bachelor’s degree,Student,3-5 years,,
378,22-24,Woman,Sweden,Master’s degree,Student,< 1 years,,
2932,45-49,Man,Poland,Master’s degree,Other,1-3 years,$0 ($USD),"50,000-59,999"
584,30-34,Woman,Canada,I prefer not to answer,Currently not employed,< 1 years,,
205,18-21,Man,Other,Bachelor’s degree,Other,1-3 years,,
1050,60-69,Man,India,Doctoral degree,Program/Project Manager,5-10 years,"$10,000-$99,999","10,000-14,999"
61432,25-29,Man,Bangladesh,Bachelor’s degree,Other,3-5 years,$0 ($USD),"10,000-14,999"
445,40-44,Man,Indonesia,Master’s degree,Currently not employed,20+ years,,
918,18-21,Woman,India,Bachelor’s degree,Student,1-3 years,,
798,35-39,Man,Colombia,Master’s degree,Data Engineer,10-20 years,$100-$999,"30,000-39,999"
131,18-21,Man,Other,Some college/university study without earning a bachelor’s degree,Data Engineer,3-5 years,,
735,70+,Man,United States of America,Master’s degree,Other,3-5 years,$1-$99,"250,000-299,999"
654,40-44,Man,India,Master’s degree,Program/Project Manager,10-20 years,"$10,000-$99,999","60,000-69,999"
2770,30-34,Man,Poland,Master’s degree,Data Scientist,20+ years,$100-$999,"30,000-39,999"
1533,60-69,Man,India,Master’s degree,Other,1-3 years,$1-$99,$0-999
2885,25-29,Man,Egypt,Bachelor’s degree,Student,1-3 years,,
1730,40-44,Man,France,Doctoral degree,Research Scientist,5-10 years,$0 ($USD),"40,000-49,999"
379,40-44,Woman,Other,Doctoral degree,Data Scientist,5-10 years,"$1000-$9,999","100,000-124,999"
763,22-24,Man,Other,Some college/university study without earning a bachelor’s degree,Software Engineer,< 1 years,$0 ($USD),$0-999
694,30-34,Man,Sweden,Doctoral degree,Research Scientist,5-10 years,$1-$99,"50,000-59,999"
776,45-49,Man,Chile,Master’s degree,Data Scientist,3-5 years,"$100,000 or more ($USD)","40,000-49,999"
737,18-21,Man,Egypt,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,1-3 years,$1-$99,"4,000-4,999"
514,25-29,Man,Netherlands,Master’s degree,Currently not employed,5-10 years,,
647,35-39,Man,Ukraine,Doctoral degree,Currently not employed,< 1 years,,
386,25-29,Man,Other,Master’s degree,Software Engineer,10-20 years,"$1000-$9,999","40,000-49,999"
2048,30-34,Woman,Indonesia,Master’s degree,Data Engineer,5-10 years,$100-$999,"25,000-29,999"
43508,18-21,Woman,Turkey,Master’s degree,Student,1-3 years,,
401,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,
682,25-29,Woman,India,Bachelor’s degree,Data Engineer,1-3 years,$0 ($USD),$0-999
753,40-44,Man,Saudi Arabia,Bachelor’s degree,Machine Learning Engineer,10-20 years,$100-$999,"10,000-14,999"
352,18-21,Man,Russia,Some college/university study without earning a bachelor’s degree,Student,3-5 years,,
566,25-29,Man,India,Master’s degree,Data Scientist,< 1 years,$0 ($USD),$0-999
1813,30-34,Man,Colombia,I prefer not to answer,Data Analyst,< 1 years,$0 ($USD),$0-999
435,25-29,Man,Pakistan,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,
986,35-39,Man,South Africa,Master’s degree,Data Engineer,10-20 years,,
366,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,
776,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Engineer,10-20 years,$100-$999,"80,000-89,999"
340,22-24,Man,United States of America,Master’s degree,Student,5-10 years,,
339,30-34,Woman,Russia,Bachelor’s degree,Student,< 1 years,,
436,25-29,Man,Other,Bachelor’s degree,Student,< 1 years,,
744,70+,Woman,United States of America,Master’s degree,Data Analyst,20+ years,"$10,000-$99,999","100,000-124,999"
895,22-24,Woman,India,I prefer not to answer,Student,5-10 years,,
79172,18-21,Man,Romania,Bachelor’s degree,Student,3-5 years,,
502,22-24,Man,India,Bachelor’s degree,Data Scientist,3-5 years,"$1000-$9,999",$0-999
267,18-21,Woman,Egypt,Bachelor’s degree,Student,< 1 years,,
516,30-34,Man,South Africa,Bachelor’s degree,Product Manager,10-20 years,$100-$999,"90,000-99,999"
427,22-24,Woman,India,Bachelor’s degree,Student,3-5 years,,
985,22-24,Man,India,Bachelor’s degree,Data Engineer,5-10 years,$0 ($USD),"5,000-7,499"
610,30-34,Man,Singapore,Master’s degree,Data Scientist,5-10 years,"$100,000 or more ($USD)","125,000-149,999"
304,22-24,Woman,India,Master’s degree,Student,3-5 years,,
12878,50-54,Man,Other,Master’s degree,Data Scientist,20+ years,,
526,60-69,Man,Argentina,Doctoral degree,Data Scientist,20+ years,$100-$999,$0-999
1068,30-34,Man,Spain,Some college/university study without earning a bachelor’s degree,Software Engineer,< 1 years,$0 ($USD),"25,000-29,999"
404,22-24,Woman,Morocco,Master’s degree,Machine Learning Engineer,1-3 years,$0 ($USD),$0-999
280,50-54,Man,Other,Bachelor’s degree,Software Engineer,10-20 years,$0 ($USD),"100,000-124,999"
904,25-29,Man,Nigeria,Some college/university study without earning a bachelor’s degree,Program/Project Manager,3-5 years,$1-$99,$0-999
1565,22-24,Man,United States of America,Bachelor’s degree,Currently not employed,1-3 years,,
3089,45-49,Man,Austria,Master’s degree,Business Analyst,5-10 years,$1-$99,"125,000-149,999"
447,22-24,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Student,1-3 years,,
460,35-39,Man,Singapore,Master’s degree,Data Scientist,5-10 years,"$100,000 or more ($USD)","100,000-124,999"
1846,60-69,Man,United States of America,Master’s degree,Product Manager,20+ years,"$1000-$9,999","80,000-89,999"
980,22-24,Man,India,Bachelor’s degree,Software Engineer,1-3 years,"$1000-$9,999",$0-999
660,30-34,Man,India,Bachelor’s degree,Software Engineer,5-10 years,$1-$99,"10,000-14,999"
937,40-44,Man,Turkey,I prefer not to answer,Other,1-3 years,$0 ($USD),"7,500-9,999"
476,18-21,Man,India,Bachelor’s degree,Software Engineer,1-3 years,$1-$99,$0-999
553,40-44,Woman,Bangladesh,Master’s degree,Currently not employed,5-10 years,,
412,30-34,Man,Turkey,Doctoral degree,Statistician,1-3 years,$0 ($USD),$0-999
324,35-39,Man,Japan,Bachelor’s degree,Other,10-20 years,,
1894,22-24,Woman,Taiwan,Master’s degree,Currently not employed,1-3 years,,
1762,25-29,Man,India,Master’s degree,Currently not employed,1-3 years,,
866,22-24,Man,Kenya,Bachelor’s degree,Program/Project Manager,5-10 years,"$10,000-$99,999","10,000-14,999"
24380,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,
738,22-24,Woman,Tunisia,Master’s degree,Student,< 1 years,,
2032,35-39,Man,Brazil,Doctoral degree,Research Scientist,1-3 years,"$10,000-$99,999","25,000-29,999"
2084,30-34,Man,United States of America,Master’s degree,Data Scientist,10-20 years,"$10,000-$99,999","250,000-299,999"
698,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,3-5 years,"$100,000 or more ($USD)","5,000-7,499"
574,35-39,Man,Egypt,Bachelor’s degree,Other,5-10 years,$0 ($USD),"25,000-29,999"
778,60-69,Man,Canada,Master’s degree,Program/Project Manager,3-5 years,"$1000-$9,999",$0-999
493,30-34,Man,India,Bachelor’s degree,Other,5-10 years,"$1000-$9,999","30,000-39,999"
337,30-34,Man,United States of America,Master’s degree,Business Analyst,I have never written code,"$10,000-$99,999","100,000-124,999"
406,40-44,Man,Japan,Bachelor’s degree,Business Analyst,I have never written code,"$100,000 or more ($USD)","70,000-79,999"
1677,55-59,Man,United States of America,Master’s degree,Data Scientist,20+ years,"$100,000 or more ($USD)","200,000-249,999"
348,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,
536,30-34,Woman,Sweden,Doctoral degree,Data Scientist,5-10 years,$0 ($USD),"60,000-69,999"
186,40-44,Man,Australia,Master’s degree,Software Engineer,20+ years,,
354,35-39,Man,Nigeria,Bachelor’s degree,Research Scientist,1-3 years,,
375,22-24,Woman,Turkey,Bachelor’s degree,Data Scientist,1-3 years,$0 ($USD),$0-999
677,40-44,Man,Russia,Bachelor’s degree,Business Analyst,1-3 years,"$1000-$9,999","25,000-29,999"
456,25-29,Man,Other,Bachelor’s degree,Data Engineer,1-3 years,$100-$999,"20,000-24,999"
916,25-29,Man,Egypt,Doctoral degree,Research Scientist,3-5 years,"$1000-$9,999","4,000-4,999"
571,30-34,Man,Russia,Bachelor’s degree,Software Engineer,5-10 years,$0 ($USD),"15,000-19,999"
720,30-34,Man,India,Master’s degree,Data Scientist,10-20 years,"$1000-$9,999","60,000-69,999"
539,22-24,Man,India,Bachelor’s degree,Student,1-3 years,,
1346,30-34,Man,United States of America,Some college/university study without earning a bachelor’s degree,Other,< 1 years,$0 ($USD),"40,000-49,999"
338,22-24,Man,India,Master’s degree,Software Engineer,5-10 years,,
307,30-34,Man,United States of America,Master’s degree,Data Scientist,1-3 years,,
288,18-21,Man,Belarus,No formal education past high school,Student,< 1 years,,
501,22-24,Man,France,Master’s degree,Data Scientist,3-5 years,"$10,000-$99,999","10,000-14,999"
2331,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,
3237,45-49,Man,South Africa,Bachelor’s degree,Currently not employed,3-5 years,,
531,35-39,Man,Egypt,Master’s degree,Student,10-20 years,,
586,30-34,Nonbinary,Mexico,Doctoral degree,Student,5-10 years,,
12370,55-59,Man,Brazil,Some college/university study without earning a bachelor’s degree,Other,20+ years,$0 ($USD),"1,000-1,999"
1233,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,,
697,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,
578,35-39,Woman,Ireland,Doctoral degree,Statistician,10-20 years,"$1000-$9,999","60,000-69,999"
572,30-34,Man,Colombia,Master’s degree,Machine Learning Engineer,3-5 years,"$1000-$9,999","1,000-1,999"
224,18-21,Prefer not to say,India,Bachelor’s degree,Student,1-3 years,,
646,30-34,Man,India,Doctoral degree,Machine Learning Engineer,5-10 years,"$100,000 or more ($USD)","30,000-39,999"
794,18-21,Woman,India,Master’s degree,Student,1-3 years,,
815,30-34,Man,India,Bachelor’s degree,Data Analyst,1-3 years,"$1000-$9,999","10,000-14,999"
591,60-69,Man,United States of America,Master’s degree,Student,10-20 years,,
699,35-39,Man,Argentina,Master’s degree,Program/Project Manager,5-10 years,$100-$999,"20,000-24,999"
1124,70+,Man,Australia,Master’s degree,Other,20+ years,$100-$999,"5,000-7,499"
520,18-21,Man,Australia,Bachelor’s degree,Data Scientist,< 1 years,$0 ($USD),$0-999
504,45-49,Man,Portugal,No formal education past high school,Other,< 1 years,$0 ($USD),"10,000-14,999"
669,18-21,Man,Other,Master’s degree,Software Engineer,3-5 years,$1-$99,"3,000-3,999"
3042,25-29,Woman,Hong Kong (S.A.R.),Doctoral degree,Data Scientist,5-10 years,$100-$999,"7,500-9,999"
982,25-29,Man,Japan,No formal education past high school,Machine Learning Engineer,5-10 years,"$1000-$9,999","60,000-69,999"
613,25-29,Man,India,Bachelor’s degree,Data Scientist,< 1 years,$1-$99,"10,000-14,999"
798,22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years,$0 ($USD),"4,000-4,999"
875,22-24,Man,China,Master’s degree,Data Scientist,1-3 years,$0 ($USD),$0-999
307,55-59,Woman,Israel,Master’s degree,Currently not employed,5-10 years,,
4131,25-29,Man,Nigeria,Master’s degree,Research Scientist,3-5 years,$100-$999,$0-999
601,50-54,Man,Austria,No formal education past high school,Software Engineer,20+ years,"$1000-$9,999","70,000-79,999"
1341,22-24,Man,India,Bachelor’s degree,Student,< 1 years,,
612,18-21,Woman,India,Bachelor’s degree,Student,1-3 years,,
275,45-49,Man,Sweden,Master’s degree,Software Engineer,20+ years,,
1128,25-29,Man,United States of America,Bachelor’s degree,Student,1-3 years,,
961,50-54,Man,Japan,Master’s degree,Software Engineer,20+ years,"$10,000-$99,999","125,000-149,999"
290,30-34,Man,United States of America,Master’s degree,Student,1-3 years,,
627,30-34,Woman,India,Master’s degree,Currently not employed,< 1 years,,
1348,40-44,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,"$10,000-$99,999","2,000-2,999"
780,18-21,Man,Mexico,Bachelor’s degree,Student,1-3 years,,
9291,35-39,Man,France,Master’s degree,Data Scientist,< 1 years,$0 ($USD),"60,000-69,999"
3874,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,,
1921,25-29,Man,Spain,Master’s degree,Machine Learning Engineer,5-10 years,"$1000-$9,999","30,000-39,999"
497,22-24,Man,Ukraine,Doctoral degree,Data Analyst,3-5 years,$0 ($USD),$0-999
1181,25-29,Man,India,Bachelor’s degree,Research Scientist,< 1 years,$0 ($USD),$0-999
688,35-39,Woman,India,Master’s degree,Currently not employed,5-10 years,,
449,30-34,Woman,Brazil,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years,,
320,22-24,Man,United States of America,Master’s degree,Other,3-5 years,$0 ($USD),"70,000-79,999"
767,35-39,Woman,India,Doctoral degree,Research Scientist,1-3 years,$1-$99,"1,000-1,999"
667,55-59,Woman,Brazil,Master’s degree,Business Analyst,1-3 years,$0 ($USD),$0-999
170,40-44,Man,United States of America,Master’s degree,Software Engineer,10-20 years,,
991,30-34,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,$1-$99,"30,000-39,999"
1846,22-24,Man,India,Master’s degree,Student,1-3 years,,
732,25-29,Woman,Pakistan,Master’s degree,Data Analyst,< 1 years,$1-$99,"2,000-2,999"
566,60-69,Man,United States of America,Master’s degree,Software Engineer,20+ years,"$100,000 or more ($USD)","100,000-124,999"
1075,50-54,Man,United States of America,Master’s degree,Currently not employed,20+ years,,
442,35-39,Man,Indonesia,No formal education past high school,Data Scientist,I have never written code,$0 ($USD),$0-999
1469,30-34,Man,China,Master’s degree,Machine Learning Engineer,1-3 years,$1-$99,"3,000-3,999"
526,30-34,Man,Denmark,Doctoral degree,Data Scientist,10-20 years,"$1000-$9,999","100,000-124,999"
824,25-29,Woman,India,Bachelor’s degree,Data Analyst,< 1 years,"$10,000-$99,999","5,000-7,499"
922,35-39,Man,Australia,Master’s degree,Currently not employed,5-10 years,,
378,35-39,Woman,Other,Master’s degree,Data Analyst,10-20 years,,
1945,45-49,Prefer not to say,Brazil,Bachelor’s degree,Research Scientist,10-20 years,"$10,000-$99,999",$0-999
578,18-21,Man,India,Master’s degree,Student,1-3 years,,
237,22-24,Man,Other,Bachelor’s degree,Currently not employed,5-10 years,,
756,25-29,Woman,Pakistan,Doctoral degree,Data Analyst,3-5 years,"$1000-$9,999",$0-999
599,25-29,Woman,India,Master’s degree,Data Analyst,1-3 years,$1-$99,$0-999
480,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,1-3 years,,
264,25-29,Man,Nigeria,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years,,
4088,45-49,Man,Germany,Master’s degree,Program/Project Manager,10-20 years,"$100,000 or more ($USD)","100,000-124,999"
1066,25-29,Man,Kenya,Bachelor’s degree,Software Engineer,5-10 years,"$10,000-$99,999",$0-999
509,22-24,Man,South Korea,Bachelor’s degree,Other,1-3 years,$100-$999,"3,000-3,999"
187,22-24,Man,India,Master’s degree,Currently not employed,3-5 years,,
372,22-24,Man,Bangladesh,Bachelor’s degree,Student,1-3 years,,
356,25-29,Woman,Philippines,Bachelor’s degree,Currently not employed,< 1 years,,
445,22-24,Man,India,Master’s degree,Student,< 1 years,,
841,35-39,Man,Turkey,Master’s degree,Software Engineer,< 1 years,$100-$999,"2,000-2,999"
569,18-21,Woman,India,Master’s degree,Student,< 1 years,,
984,40-44,Man,Canada,Master’s degree,Data Analyst,< 1 years,$1-$99,$0-999
85290,50-54,Man,United States of America,Bachelor’s degree,Software Engineer,20+ years,"$100,000 or more ($USD)","250,000-299,999"
3143,30-34,Man,Nigeria,Master’s degree,Data Analyst,1-3 years,"$1000-$9,999","10,000-14,999"
1159,45-49,Woman,Singapore,Master’s degree,Research Scientist,10-20 years,"$1000-$9,999","125,000-149,999"
5097,22-24,Man,United States of America,Master’s degree,Student,3-5 years,,
501,35-39,Woman,United States of America,Master’s degree,Data Scientist,10-20 years,$1-$99,"150,000-199,999"
622,25-29,Man,India,Master’s degree,Student,3-5 years,,
785,35-39,Man,Russia,Bachelor’s degree,Other,< 1 years,$0 ($USD),"20,000-24,999"
489,22-24,Woman,India,Master’s degree,Research Scientist,I have never written code,$0 ($USD),$0-999
1984,18-21,Woman,Indonesia,Bachelor’s degree,Student,1-3 years,,
1112,22-24,Man,India,Bachelor’s degree,Business Analyst,1-3 years,"$100,000 or more ($USD)","2,000-2,999"
904,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,
2403,22-24,Man,China,Doctoral degree,Program/Project Manager,1-3 years,,
29434,45-49,Man,Other,Master’s degree,Business Analyst,< 1 years,"$1000-$9,999","5,000-7,499"
489,30-34,Woman,United States of America,Master’s degree,Data Engineer,I have never written code,$0 ($USD),$0-999
843,50-54,Man,Russia,No formal education past high school,Currently not employed,1-3 years,,
42500,40-44,Man,Mexico,Master’s degree,Business Analyst,20+ years,"$10,000-$99,999","30,000-39,999"
266,50-54,Man,United Kingdom of Great Britain and Northern Ireland,No formal education past high school,Developer Relations/Advocacy,10-20 years,,
1390,30-34,Woman,India,Master’s degree,Research Scientist,3-5 years,$0 ($USD),"7,500-9,999"
887,25-29,Prefer not to say,Germany,Doctoral degree,Research Scientist,3-5 years,"$1000-$9,999","50,000-59,999"
662,22-24,Woman,Nigeria,Master’s degree,Student,1-3 years,,
